timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,mode_switch,man_switch,acro_switch,stab_switch,posctl_switch
368335592,368313570,20,6,0,0,0,3,3,0,0,0,0,0,0,0
369348394,369329004,20,6,0,0,0,3,3,0,0,0,0,0,0,0
370358687,370335780,20,6,0,0,0,3,3,0,0,0,0,0,0,0
371367318,371346094,20,6,0,0,0,3,3,0,0,0,0,0,0,0
372370037,372349668,20,6,0,0,0,3,3,0,0,0,0,0,0,0
373388191,373365185,20,6,0,0,0,3,3,0,0,0,0,0,0,0
374393474,374372358,20,6,0,0,0,3,3,0,0,0,0,0,0,0
375394804,375373454,20,6,0,0,0,3,3,0,0,0,0,0,0,0
376408478,376386811,20,6,0,0,0,3,3,0,0,0,0,0,0,0
377419709,377400733,20,6,0,0,0,3,3,0,0,0,0,0,0,0
378438669,378416184,20,6,0,0,0,3,3,0,0,0,0,0,0,0
379451955,379429310,20,6,0,0,0,3,3,0,0,0,0,0,0,0
380467183,380446235,20,6,0,0,0,3,3,0,0,0,0,0,0,0
381477525,381454653,20,6,0,0,0,3,3,0,0,0,0,0,0,0
382491051,382468202,20,6,0,0,0,3,3,0,0,0,0,0,0,0
383505763,383484047,20,6,0,0,0,3,3,0,0,0,0,0,0,0
384511292,384488125,20,6,0,0,0,3,3,0,0,0,0,0,0,0
385523597,385500006,20,6,0,0,0,3,3,0,0,0,0,0,0,0
386539048,386518725,20,6,0,0,0,3,3,0,0,0,0,0,0,0
387557184,387535537,20,6,0,0,0,3,3,0,0,0,0,0,0,0
388569775,388547405,20,6,0,0,0,3,3,0,0,0,0,0,0,0
389574733,389551698,20,6,0,0,0,3,3,0,0,0,0,0,0,0
390575783,390554336,20,6,0,0,0,3,3,0,0,0,0,0,0,0
391588983,391566167,20,6,0,0,0,3,3,0,0,0,0,0,0,0
392600989,392580999,20,6,0,0,0,3,3,0,0,0,0,0,0,0
393605507,393584546,20,6,0,0,0,3,3,0,0,0,0,0,0,0
394624554,394603447,20,6,0,0,0,3,3,0,0,0,0,0,0,0
395631856,395608710,20,6,0,0,0,3,3,0,0,0,0,0,0,0
396647556,396628572,20,6,0,0,0,3,3,0,0,0,0,0,0,0
397657061,397635392,20,6,0,0,0,3,3,0,0,0,0,0,0,0
398659955,398638191,20,6,0,0,0,3,3,0,0,0,0,0,0,0
399668883,399646794,20,6,0,0,0,3,3,0,0,0,0,0,0,0
400684979,400663386,20,6,0,0,0,3,3,0,0,0,0,0,0,0
401702241,401682609,20,6,0,0,0,3,3,0,0,0,0,0,0,0
402715895,402694305,20,6,0,0,0,3,3,0,0,0,0,0,0,0
403719627,403696055,20,6,0,0,0,3,3,0,0,0,0,0,0,0
404736392,404714433,20,6,0,0,0,3,3,0,0,0,0,0,0,0
405754067,405731281,20,6,0,0,0,3,3,0,0,0,0,0,0,0
406764761,406743008,20,6,0,0,0,3,3,0,0,0,0,0,0,0
407777668,407756638,20,6,0,0,0,3,3,0,0,0,0,0,0,0
408788306,408766636,20,6,0,0,0,3,3,0,0,0,0,0,0,0
409804992,409784511,20,6,0,0,0,3,3,0,0,0,0,0,0,0
410820265,410797791,20,6,0,0,0,3,3,0,0,0,0,0,0,0
411841717,411817217,20,6,0,0,0,3,3,0,0,0,0,0,0,0
412850128,412829928,20,6,0,0,0,3,3,0,0,0,0,0,0,0
413865316,413843227,20,6,0,0,0,3,3,0,0,0,0,0,0,0
414874110,414850761,20,6,0,0,0,3,3,0,0,0,0,0,0,0
415888650,415867179,20,6,0,0,0,3,3,0,0,0,0,0,0,0
416900119,416878006,20,6,0,0,0,3,3,0,0,0,0,0,0,0
417913752,417890351,20,6,0,0,0,3,3,0,0,0,0,0,0,0
418924480,418902651,20,6,0,0,0,3,3,0,0,0,0,0,0,0
419246744,419225394,21,6,0,0,0,3,1,0,0,0,0,0,0,0
420251871,420228346,21,6,0,0,0,3,1,0,0,0,0,0,0,0
421264161,421241576,21,6,0,0,0,3,1,0,0,0,0,0,0,0
422286093,422261365,21,6,0,0,0,3,1,0,0,0,0,0,0,0
423292111,423269063,21,6,0,0,0,3,1,0,0,0,0,0,0,0
424175207,424153550,22,6,0,0,0,3,3,0,0,0,0,0,0,0
425184491,425162312,22,6,0,0,0,3,3,0,0,0,0,0,0,0
