timestamp,voltage5v_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid
368080576,4.92583,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
368570532,4.8742676,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
369072302,4.890381,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
369570693,4.8936033,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
370070568,4.8452635,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
370570498,4.8194823,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
371070582,4.9226074,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
371572475,4.890381,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
372070900,4.867822,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
372570619,4.8694334,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
373070518,4.92583,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
373570647,4.8710446,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
374072302,4.8984375,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
374570983,4.9354978,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
375070709,4.8597655,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
375570560,4.9129395,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
376070595,4.8468747,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
376570519,4.9193845,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
377071246,4.9371095,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
377571011,4.8452635,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
378070650,4.8581543,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
378570668,4.903271,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
379070529,4.966113,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
379571947,4.906494,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
380070958,4.8098145,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
380570618,4.861377,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
381070777,4.817871,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
381570518,4.8968263,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
382072138,4.8194823,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
382571141,4.8581543,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
383070578,4.861377,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
383570521,4.7582517,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
384070569,4.861377,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
384571706,4.862988,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
385071614,4.856543,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
385570779,4.8452635,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
386070503,4.8452635,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
386570523,4.856543,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
387072659,4.8484864,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
387570997,4.9918942,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
388070779,4.8452635,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
388570596,4.945166,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
389070568,4.861377,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
389570519,4.8984375,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
390072036,4.8581543,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
390570792,4.8645997,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
391070580,4.903271,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
391570653,4.87749,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
392070565,4.8984375,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
392571470,4.995117,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
393071145,4.8436522,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
393570651,4.9193845,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
394070520,4.8194823,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
394570541,4.8968263,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
395072313,4.862988,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
395571347,4.911328,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
396070651,4.8452635,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
396570570,4.9097166,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
397070521,4.903271,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
397570516,4.8597655,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
398071107,4.941943,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
398571018,4.8936033,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
399070713,4.8259277,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
399570651,4.9097166,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
400070522,4.8742676,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
400571347,4.788867,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
401071228,4.8694334,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
401570651,4.8581543,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
402070710,4.8500977,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
402570519,4.866211,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
403072042,4.9097166,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
403571601,4.842041,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
404070623,4.9226074,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
404570521,4.8210936,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
405070518,4.822705,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
405571875,4.8210936,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
406071645,4.8468747,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
406570750,4.890381,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
407070584,4.8065915,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
407570618,4.8984375,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
408070522,4.880713,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
408571902,4.951611,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
409070966,4.8452635,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
409570547,4.8710446,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
410070702,4.9097166,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
410570606,4.8549314,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
411072233,4.9129395,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
411570654,4.9322753,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
412070625,4.8259277,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
412570498,4.81626,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
413070522,4.867822,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
413572421,4.8597655,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
414071054,4.969336,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
414570672,4.8645997,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
415070567,4.87749,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
415570588,4.8984375,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
416070518,4.861377,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
416571704,4.8355956,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
417070835,4.9000487,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
417570539,4.8694334,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
418070902,4.8597655,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
418570524,4.890381,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
419071606,4.9677243,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
419571272,4.8452635,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
420070526,4.84043,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
420570523,4.911328,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
421070520,4.911328,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
421571884,4.880713,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
422071471,4.8452635,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
422570720,4.8742676,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
423070565,4.8194823,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
423570570,4.8194823,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
424070518,4.8549314,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
424572268,4.81626,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
425071803,4.9000487,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
