timestamp,timestamp_sample,x,y,z,r,flaps,aux1,aux2,aux3,aux4,aux5,aux6,data_source
368269166,368268709,-0.0,0.0,0.0,0.99268293,0.0,0.0,0.032258064,0.0,0.0,0.0,0.0,1
368466463,368465787,-0.0,0.0,0.0,0.96829265,0.0,0.0,0.032258064,0.0,0.0,0.0,0.0,1
368596357,368595902,-0.0,0.0,0.0,0.0,0.0,0.0,0.032258064,0.0,0.0,0.0,0.0,1
368897164,368896701,-0.0,0.0,0.0,0.0,0.0,0.0,0.032258064,0.0,0.0,0.0,0.0,1
369198969,369198515,-0.0,0.0,0.0,0.0,0.0,0.0,0.032258064,0.0,0.0,0.0,0.0,1
369501238,369500758,-0.0,0.0,0.0,0.0,0.0,0.0,0.032258064,0.0,0.0,0.0,0.0,1
369802051,369801569,-0.0,0.0,0.0,0.0,0.0,0.0,0.032258064,0.0,0.0,0.0,0.0,1
370121352,370120768,-0.0,0.0,0.0,0.0,0.0,0.0,0.032258064,0.0,0.0,0.0,0.0,1
370430265,370429500,-0.0,0.0,0.0,0.0,0.0,0.0,0.032258064,0.0,0.0,0.0,0.0,1
370746788,370746336,-0.0,0.0,0.0,0.0,0.0,0.0,0.032258064,0.0,0.0,0.0,0.0,1
371046812,371046281,-0.0,0.0,0.0,0.0,0.0,0.0,0.032258064,0.0,0.0,0.0,0.0,1
371367301,371366853,-0.0,0.0,0.0,0.0,0.0,0.0,0.032258064,0.0,0.0,0.0,0.0,1
371689646,371689122,-0.0,0.0,0.0,0.0,0.0,0.0,0.032258064,0.0,0.0,0.0,0.0,1
371990371,371989872,-0.0,0.0,0.0,0.0,0.0,0.0,0.032258064,0.0,0.0,0.0,0.0,1
372075168,372074582,-0.0,0.0,0.0,0.0,0.0,0.0,0.032258064,0.0,0.0,0.0,0.0,1
372180970,372180235,-0.0,0.0,0.15421687,0.0,0.0,0.0,0.032258064,0.0,0.0,0.0,0.0,1
372370020,372369528,-0.0,0.0,0.3253012,0.0,0.0,0.0,0.032258064,0.0,0.0,0.0,0.0,1
372588857,372588412,-0.0,0.0,0.32891566,0.0,0.0,0.0,0.032258064,0.0,0.0,0.0,0.0,1
372783405,372782919,-0.0,0.0,0.3421687,0.0,0.0,0.0,0.032258064,0.0,0.0,0.0,0.0,1
