timestamp,saturation_status
369070024,1533
370054368,1533
371068208,1533
372075752,1533
373061665,1533
374055380,1533
375071347,1
376062026,1
377073803,1
378057371,1
379064807,1
380057478,1
381070823,1
382059519,1
383071210,1
384065174,1
385045472,1
386066677,1
387060840,1
388055090,1
389057936,1
390054677,1
391072411,1
392069437,1
393066635,1
394055510,1
395056655,1
396067057,1
397056247,1
398068785,1
399072476,1
400055684,1
401049525,1
402062506,1
403067458,1
404063758,1
405052610,1
406054581,1
407070802,1
408060204,1
409071832,1
410062649,1
411059504,1
412057802,1
413065199,1
414057826,1
415070613,1
416060064,1
417068945,1
418062775,1
419055128,1
420057815,1
421069168,1
422067123,1
423055952,1
424068048,1
425056729,1533
