timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,is_external
369037474,369037455,1114122,0.55136,0.15711999,-0.40263999,52.375,0,0
370034207,370034188,1114122,0.54752,0.16192,-0.40232,52.375,0,0
371041735,371041709,1114122,0.54744,0.16176,-0.40344,52.375,0,0
372038247,372038229,1114122,0.54648,0.16032,-0.40247998,52.5,0,0
373034993,373034975,1114122,0.5424,0.16759999,-0.40104,52.5,0,0
374042681,374042650,1114122,0.54535997,0.16272,-0.40111998,52.5,0,0
375039076,375039057,1114122,0.54175997,0.15224,-0.35696,52.5,0,0
376035788,376035769,1114122,0.46183997,0.11824,-0.19336,52.5,0,0
377032564,377032539,1114122,0.49767998,0.1364,-0.23215999,52.5,0,0
378039980,378039959,1114122,0.47592,0.1024,-0.25312,52.75,0,0
379036595,379036576,1114122,0.49111998,0.109919995,-0.23832,52.75,0,0
380033341,380033323,1114122,0.51408,0.13431999,-0.25536,52.75,0,0
381040871,381040853,1114122,0.46464,0.117199995,-0.2816,52.875,0,0
382037435,382037413,1114122,0.4996,0.13992,-0.28936,52.875,0,0
383034204,383034185,1114122,0.47232,0.1024,-0.2216,52.875,0,0
384041808,384041782,1114122,0.50648,0.12743999,-0.2828,52.875,0,0
385038238,385038219,1114122,0.49159998,0.120799996,-0.23864,52.875,0,0
386035015,386034996,1114122,0.46199998,0.114319995,-0.2796,53.0,0,0
387032172,387032153,1114122,0.49207997,0.13,-0.2604,53.0,0,0
388039139,388039109,1114122,0.47296,0.13,-0.26856,53.25,0,0
389035879,389035861,1114122,0.47711998,0.12288,-0.21552,53.125,0,0
390032592,390032574,1114122,0.50872,0.14032,-0.26391998,53.25,0,0
391040025,391040007,1114122,0.45679998,0.13304,-0.262,53.125,0,0
392036714,392036695,1114122,0.50992,0.12168,-0.23663999,53.25,0,0
393044066,393044041,1114122,0.46063998,0.11096,-0.19015999,53.25,0,0
394040929,394040907,1114122,0.50512,0.1564,-0.28448,53.25,0,0
395037595,395037576,1114122,0.45479998,0.11648,-0.17632,53.25,0,0
396034339,396034321,1114122,0.47816,0.12208,-0.22839999,53.375,0,0
397041837,397041815,1114122,0.49335998,0.14384,-0.26736,53.375,0,0
398038467,398038449,1114122,0.4772,0.123679996,-0.25696,53.625,0,0
399035217,399035199,1114122,0.49536,0.15064,-0.25336,53.5,0,0
400032238,400032220,1114122,0.48775998,0.14936,-0.26848,53.5,0,0
401039348,401039330,1114122,0.44832,0.0976,-0.15432,53.5,0,0
402036161,402036142,1114122,0.48055997,0.118559994,-0.23208,53.5,0,0
403043639,403043610,1114122,0.48216,0.13759999,-0.28015998,53.5,0,0
404040263,404040245,1114122,0.4996,0.12472,-0.296,53.625,0,0
405037095,405037064,1114122,0.43208,0.11992,-0.23104,53.625,0,0
406034021,406034003,1114122,0.45656,0.13304,-0.24263999,53.625,0,0
407041172,407041153,1114122,0.49607998,0.13504,-0.25351998,53.75,0,0
408037962,408037936,1114122,0.47168,0.10944,-0.18008,53.75,0,0
409034928,409034910,1114122,0.4816,0.14119999,-0.27383998,53.75,0,0
410042107,410042081,1114122,0.49743998,0.120079994,-0.21368,53.75,0,0
411038958,411038939,1114122,0.44768,0.11552,-0.21424,53.875,0,0
412035824,412035805,1114122,0.4608,0.12824,-0.28192,53.875,0,0
413043108,413043077,1114122,0.46664,0.12496,-0.22384,53.875,0,0
414039823,414039805,1114122,0.49976,0.09936,-0.17007999,53.875,0,0
415036725,415036707,1114122,0.47728,0.14016,-0.262,53.875,0,0
416033483,416033465,1114122,0.50071996,0.14255999,-0.29551998,53.875,0,0
417041183,417041165,1114122,0.49672,0.1292,-0.27712,54.0,0,0
418037657,418037638,1114122,0.49111998,0.15271999,-0.26143998,54.125,0,0
419034439,419034421,1114122,0.50952,0.13616,-0.21936,53.875,0,0
420042079,420042060,1114122,0.55296,0.18168,-0.42688,54.125,0,0
421038574,421038556,1114122,0.5548,0.1856,-0.42023998,54.25,0,0
422035396,422035367,1114122,0.55807996,0.17672,-0.41808,54.25,0,0
423042992,423042957,1114122,0.5564,0.18135999,-0.42016,54.125,0,0
424039548,424039529,1114122,0.55792,0.18016,-0.41968,54.25,0,0
425036522,425036494,1114122,0.57184,0.16368,-0.39536,54.375,0,0
