timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,gyro_coning_vibration,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],temperature_accel,temperature_gyro
368125369,1114122,2228234,0,0,0,0,0,761.1617,759.8092,761.1617,759.8092,0.010280854,0.00012282889,1.8893019e-08,0.05220816,0.3010089,-9.898694,-0.0024424582,0.008994867,0.009077786,52.32276,53.0
369019558,1114122,2228234,0,0,0,0,0,761.1572,759.8092,761.1572,759.8092,0.009376274,0.00010735198,8.959257e-09,-0.09094836,0.13883372,-9.837385,-0.006205913,0.0026209643,0.0014197316,52.375,53.0
370016324,1114122,2228234,0,0,0,0,0,761.9247,766.3909,761.9247,766.3909,0.009466667,0.00011542618,6.6377237e-09,-0.06784507,0.09696541,-9.7859955,-0.010769065,0.00034207024,0.0015219606,52.32716,53.0
371070468,1114122,2228234,0,0,0,0,0,761.1258,760.86224,761.1258,760.86224,0.009203063,0.00010468716,6.386926e-09,-0.026496306,0.31037644,-9.736573,-0.00926701,-0.00030182794,0.002254108,52.429485,52.0
372040046,1114122,2228234,0,0,0,0,0,761.87646,760.79126,761.87646,760.79126,0.0107016815,0.00012786624,1.00156266e-08,-0.12866656,0.07802282,-9.579026,-0.009939688,0.0111830775,-0.0072987685,52.5,53.0
372990926,1114122,2228234,0,0,0,0,0,761.87646,760.8207,761.87646,760.8207,0.009539141,0.00013457797,1.108767e-08,-0.10427626,0.1492254,-9.764819,-0.006245002,-0.0013159107,0.00030524321,52.449276,53.0
374037820,1114122,2228234,0,0,0,0,0,754.4909,760.04834,754.4909,760.04834,0.009419566,0.00012250787,9.678213e-09,-0.07258123,-0.3799273,-9.742349,-0.005207715,-0.0009075631,-0.0019631272,52.5,53.0
375046764,1114122,2228234,0,0,0,0,0,759.0912,760.8135,759.0912,760.8135,0.008790857,0.00013165512,1.3054214e-08,-0.06307141,0.21499984,-9.7438965,-0.004052868,0.013665673,0.006246794,52.46212,53.0
376010493,1114122,2228234,0,0,0,0,0,757.9724,760.0416,757.9724,760.0416,0.014361632,0.00019641349,2.6341981e-08,-0.29199523,0.087957606,-11.330855,-0.0029016463,-0.053442474,0.0004198063,52.625,53.0
377071108,1114122,2228234,0,0,0,0,0,757.92487,760.0416,757.92487,760.0416,0.017917834,0.00033313135,6.7584686e-08,-0.2979832,-0.065103374,-9.645869,0.0606506,-0.0016121849,0.007419276,52.527245,53.0
377981451,1114122,2228234,0,0,0,0,0,758.7193,760.0416,758.7193,760.0416,0.01825145,0.00030817415,5.8194942e-08,-0.20516288,0.10890245,-10.499688,-0.0690455,0.0077208723,0.0064730714,52.666668,53.0
379048866,1114122,2228234,0,0,0,0,0,760.2171,760.0416,760.2171,760.0416,0.01664677,0.00032334373,4.9012357e-08,-0.4267568,-0.7543757,-6.4959073,-0.026346078,0.0070059206,-0.0052756593,52.75,53.0
379995124,1114122,2228234,0,0,0,0,0,760.21716,760.0416,760.21716,760.0416,0.015393999,0.00032647848,4.2741608e-08,-0.24036515,0.06089161,-9.744216,-0.022627503,-0.0104099,0.0014842915,52.730392,53.0
381015232,1114122,2228234,0,0,0,0,0,760.21716,760.0416,760.21716,760.0416,0.016532252,0.00031686932,5.625446e-08,-0.18867834,0.29279983,-10.282745,0.048125803,0.042084478,-6.892948e-05,52.807693,54.0
381997134,1114122,2228234,0,0,0,0,0,759.42957,759.27856,759.42957,759.27856,0.018297648,0.00030143943,5.8322165e-08,-0.28796884,0.13672747,-9.693672,-0.033113353,-0.0064739073,0.009182064,52.855114,53.0
383036078,1114122,2228234,0,0,0,0,0,760.2015,763.6336,760.2015,763.6336,0.017699549,0.00029928787,4.1031086e-08,-1.4897177,-0.838082,-6.3204117,-0.031795066,0.018148633,0.014254864,52.875,53.0
384052714,1114122,2228234,0,0,0,0,0,760.96735,760.6527,760.96735,760.6527,0.017994095,0.00031898916,4.3822748e-08,-0.091989666,-0.1276985,-8.336073,-0.0071209287,-0.005077982,-0.0009631599,52.875,53.0
385056581,1114122,2228234,0,0,0,0,0,760.96735,759.06305,760.96735,759.06305,0.015200471,0.00028454684,3.894701e-08,-0.14713222,0.08911925,-9.549319,-0.009511425,0.00851912,-0.0012740992,52.973766,53.0
386043555,1114122,2228234,0,0,0,0,0,763.2295,758.99744,763.2295,758.99744,0.017941825,0.00030566374,5.089942e-08,-0.30043414,0.1169621,-9.988391,0.00041799675,-0.04452622,0.0029499012,53.01406,53.0
387063901,1114122,2228234,0,0,0,0,0,761.26337,759.791,761.26337,759.791,0.018114548,0.0003301693,4.9781505e-08,0.10998894,-0.1552864,-8.249856,-0.0006440621,0.009092493,0.00013392008,53.0,53.0
388066728,1114122,2228234,0,0,0,0,0,756.91455,759.0229,756.91455,759.0229,0.016728273,0.00030067487,4.3576602e-08,-0.054292794,0.17753826,-9.681171,0.011606733,-0.010176032,0.0028414673,53.15,54.0
389016952,1114122,2228234,0,0,0,0,0,759.9765,759.788,759.9765,759.788,0.01635526,0.00031327587,4.223065e-08,-0.1870306,0.33426127,-9.686899,-0.019586759,0.022775482,0.004782513,53.020832,54.0
390032731,1114122,2228234,0,0,0,0,0,759.2071,759.788,759.2071,759.788,0.017463354,0.00028916966,3.5505707e-08,-0.2638639,0.20267117,-9.832069,0.008000434,0.016320268,-0.0059905555,53.139423,54.0
