timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
383699120,383699090,0.3250771,1.18462185e-05,-0.38984415,6.523381,0.0025886109,6.4829383,1
383799012,383798984,0.32539922,1.1663924e-05,-0.33839518,7.0900955,0.0017945424,7.044987,1
383901441,383901413,0.3255209,1.1494064e-05,-0.97194016,6.884359,0.015246602,6.833107,1
384001536,384001504,0.32566354,1.1347634e-05,-4.554608,6.739591,0.3419999,6.7939734,1
384099255,384099178,0.32562867,1.1206392e-05,-0.5667853,7.0472293,0.005064962,7.005976,1
384199748,384199717,0.32567725,1.1047339e-05,2.7413924,7.1951466,0.116054036,7.1893344,1
384301871,384301843,0.32562605,1.091267e-05,0.6883187,7.2405987,0.0072704647,7.18644,1
384402020,384401942,0.3253459,1.0804192e-05,-0.015997767,6.943196,4.0955933e-06,6.8984976,1
384499535,384499499,0.3254801,1.0677284e-05,4.2151175,6.9512525,0.28399703,6.9923286,1
384598448,384598420,0.3254935,1.0543083e-05,0.23721725,7.745149,0.0008072726,7.7011085,1
384701641,384701610,0.32531717,1.0416322e-05,3.1174805,7.7886157,0.13864516,7.7917423,1
384801791,384801763,0.32522273,1.0300583e-05,-3.377225,7.567746,0.16745992,7.578152,1
384899758,384899728,0.32515043,1.018947e-05,1.2384706,7.3843904,0.023078853,7.3495793,1
385000216,385000189,0.32525578,1.0078071e-05,-0.14233434,7.064611,0.00031863147,7.018901,1
385101846,385101815,0.32530302,9.96448e-06,-3.8159711,6.93688,0.23324023,6.9761624,1
385202069,385202041,0.32546827,9.856846e-06,1.3264984,7.575879,0.025807023,7.540311,1
385299703,385299672,0.3253797,9.778212e-06,3.9586453,7.9638443,0.21863914,7.993698,1
385400571,385400540,0.3254646,9.705216e-06,-2.160627,7.9596167,0.06516658,7.9318843,1
385498050,385498018,0.32554436,9.62096e-06,-2.4441032,7.7425885,0.085725576,7.7247686,1
385602827,385602799,0.3255989,9.548604e-06,-1.2466321,7.5047503,0.023009004,7.4644732,1
385699986,385699905,0.32568574,9.472131e-06,-2.8857796,7.249811,0.12763129,7.2442613,1
385805144,385805111,0.32561886,9.383747e-06,7.755808,7.9032726,0.8456772,8.174165,1
385897814,385897786,0.32597432,9.29483e-06,0.8654431,8.813374,0.009442617,8.772247,1
386002675,386002647,0.32574084,9.219041e-06,2.44128,8.675066,0.07633432,8.650539,1
386100385,386100352,0.32567492,9.142136e-06,-0.80378586,8.325041,0.00862287,8.282357,1
386200637,386200609,0.32575354,9.066072e-06,-2.672392,8.042024,0.09867166,8.026917,1
386298241,386298211,0.3259031,8.986661e-06,-0.59896874,7.896733,0.0050479886,7.8535156,1
386402738,386402710,0.32606098,8.899567e-06,-4.256138,8.203525,0.24535133,8.25513,1
386500297,386500270,0.32600692,8.799303e-06,2.562656,8.622525,0.08462596,8.604786,1
386599332,386599304,0.32585964,8.690353e-06,0.98167586,8.415677,0.012723442,8.373197,1
386702897,386702869,0.32524318,8.596624e-06,1.9626439,8.226184,0.052028593,8.185378,1
386802938,386802910,0.32518333,8.522021e-06,-1.7109379,8.18136,0.039755795,8.13817,1
386901027,386900999,0.32527843,8.458011e-06,1.0573121,8.209922,0.015129511,8.1688,1
387001167,387001090,0.3253696,8.392727e-06,0.18967295,8.044284,0.0004969136,7.9950533,1
387098609,387098581,0.32547674,8.321166e-06,0.6015921,7.736278,0.0051979213,7.695478,1
387203192,387203164,0.3256427,8.250709e-06,2.7138894,8.26408,0.09902554,8.253019,1
387300756,387300725,0.32562557,8.184442e-06,-1.4569174,7.96151,0.029623196,7.9279704,1
387401756,387401728,0.32560837,8.126646e-06,-4.0858903,7.6943555,0.2410786,7.73417,1
387498970,387498942,0.3254891,8.083603e-06,-2.527842,8.11884,0.08745071,8.105778,1
387603729,387603653,0.32541233,8.055601e-06,0.9739541,7.9614067,0.013238678,7.905599,1
387701282,387701254,0.32551047,8.023233e-06,-0.80387783,7.8627787,0.009131908,7.8247557,1
387801516,387801484,0.3256653,7.97748e-06,0.53220516,7.6009183,0.0041404697,7.5581093,1
387899057,387899029,0.32585362,7.918093e-06,-3.4975317,8.035501,0.1691484,8.042024,1
388003779,388003751,0.32587892,7.8582625e-06,-2.1263173,7.773599,0.06462365,7.7382884,1
388101197,388101166,0.32565403,7.798055e-06,4.8759,7.7443905,0.3410985,7.8123536,1
388201660,388201632,0.32560772,7.743342e-06,-1.6889243,7.9595942,0.03981869,7.9254327,1
388299621,388299593,0.32553566,7.693027e-06,-1.9103606,7.656458,0.052961502,7.6299763,1
388403930,388403902,0.32558158,7.641792e-06,0.73575544,7.40487,0.008122823,7.349381,1
388501506,388501478,0.3255812,7.588823e-06,3.000435,7.1681805,0.13954589,7.1708517,1
388601563,388601535,0.3256053,7.5329312e-06,-3.602882,7.8271327,0.1842701,7.844117,1
388699786,388699752,0.3257116,7.479317e-06,-0.80210257,7.630967,0.009367803,7.590529,1
388798663,388798624,0.32560763,7.4275913e-06,3.668739,7.391551,0.2023278,7.415674,1
388902007,388901976,0.32585675,7.3851984e-06,-3.1556451,7.5744185,0.1460779,7.578084,1
389002131,389002103,0.32606447,7.335925e-06,-2.929157,7.565349,0.12601255,7.5578647,1
389104002,389103974,0.32616746,7.2836915e-06,0.8242129,7.5171843,0.010041096,7.471143,1
389198645,389198614,0.3261842,7.2325997e-06,2.5110934,7.284979,0.09617339,7.27873,1
389301999,389301922,0.32628372,7.187558e-06,-5.719164,7.740229,0.46953583,7.878339,1
389402023,389401947,0.3262268,7.138665e-06,2.1100202,7.937144,0.062325597,7.917247,1
389500041,389500013,0.32615384,7.0898927e-06,-0.37665528,7.645106,0.002061874,7.6041656,1
389600115,389600083,0.32620284,7.0427654e-06,-3.1495063,7.4340496,0.1482576,7.4344707,1
389697766,389697738,0.32614896,6.9969706e-06,4.95357,7.4096775,0.36795506,7.484175,1
389802330,389802298,0.3263067,6.9621497e-06,-4.969618,7.8227587,0.35078704,7.891712,1
389899906,389899829,0.32638738,6.9199455e-06,-1.4410862,7.60576,0.030338544,7.5723257,1
390000578,390000547,0.3264226,6.8764884e-06,-0.047650177,7.628241,3.3072127e-05,7.5815754,1
390098146,390098113,0.32635695,6.8347663e-06,1.1267719,7.8096986,0.018063223,7.7759624,1
390202703,390202675,0.32633677,6.802302e-06,-3.2577019,7.545628,0.15627329,7.555471,1
390300170,390300142,0.32648697,6.764195e-06,-3.5521672,7.401172,0.18942782,7.4114785,1
390400629,390400601,0.32631615,6.7160213e-06,4.2469788,7.7074723,0.2600194,7.757168,1
390502468,390502437,0.3262689,6.6694583e-06,-0.43761164,7.566308,0.0028122324,7.510654,1
390602897,390602866,0.32610267,6.6294456e-06,0.8048007,7.3411145,0.009803297,7.3004475,1
390691267,390691239,0.3261236,6.5913932e-06,2.7584834,7.126642,0.118635125,7.122693,1
390801140,390801110,0.32610497,6.551008e-06,2.799175,7.196632,0.12097297,7.195589,1
390898470,390898442,0.32603863,6.512992e-06,3.6220255,7.04887,0.20679547,7.0706058,1
391003053,391003025,0.3260944,6.4701026e-06,1.0188556,6.938097,0.01662426,6.903308,1
391100656,391100628,0.32611525,6.425121e-06,1.7569225,6.73555,0.050920144,6.714306,1
391199440,391199412,0.3261897,6.3799985e-06,-1.566079,6.5928617,0.041334327,6.567655,1
391298849,391298821,0.3263412,6.3357184e-06,-3.9228523,6.634656,0.25771695,6.665323,1
391398911,391398883,0.32630002,6.296175e-06,2.075435,7.244217,0.06606696,7.225669,1
391501053,391501025,0.32649478,6.2668773e-06,3.4314034,7.74986,0.16881351,7.7684374,1
391601150,391601123,0.32648474,6.2406957e-06,2.1520312,8.131455,0.06328289,8.112417,1
391698820,391698792,0.3266621,6.21126e-06,-3.6159828,8.662033,0.16772214,8.669322,1
391803508,391803480,0.32657486,6.1895526e-06,5.8318167,9.474288,0.3988583,9.657713,1
391901013,391900937,0.32676318,6.167589e-06,-5.0392485,9.74015,0.28968325,9.797233,1
392001707,392001679,0.32667166,6.1462433e-06,3.4750562,9.710558,0.1381774,9.720585,1
392099030,392099002,0.32668906,6.123493e-06,-2.2152832,9.66005,0.056446444,9.63235,1
392199003,392198973,0.32672086,6.1008204e-06,1.5053874,9.775594,0.025757926,9.7341385,1
392301279,392301251,0.3268781,6.079141e-06,-3.1879497,9.6218605,0.11736034,9.612894,1
392401367,392401335,0.32681718,6.0574184e-06,3.787546,9.742478,0.16360775,9.763061,1
392499480,392499444,0.32698944,6.0376115e-06,-2.961011,9.929217,0.098112084,9.914028,1
392598355,392598327,0.32703763,6.0188736e-06,1.7698967,9.944797,0.034999147,9.911094,1
392701855,392701827,0.32705313,6.0060715e-06,-0.5884155,9.744685,0.003947825,9.695675,1
392801600,392801570,0.32699,5.993228e-06,-5.0375357,9.975544,0.28265536,10.041847,1
392899224,392899196,0.32713634,5.975053e-06,-5.3949056,10.217591,0.31650215,10.285083,1
393004216,393004188,0.3270375,5.9550985e-06,1.2481818,10.3808155,0.01667561,10.313248,1
393101872,393101842,0.32717353,5.9317754e-06,-4.805082,10.017826,0.25608587,10.089444,1
393201912,393201884,0.3272607,5.9091144e-06,2.540328,10.085095,0.07109795,10.0666275,1
393299768,393299740,0.32744458,5.8859696e-06,0.15254265,9.866715,0.00026203992,9.81754,1
393404831,393404800,0.32742622,5.864715e-06,4.0152235,9.805164,0.18269308,9.843272,1
393502064,393502036,0.32743937,5.845584e-06,2.7920244,9.693582,0.08935352,9.685335,1
393602073,393602045,0.3272499,5.829807e-06,1.8872129,9.719101,0.040716756,9.686291,1
393699765,393699737,0.32712993,5.8127835e-06,-1.1651199,9.707985,0.015537088,9.666876,1
393800549,393800518,0.32729438,5.7956754e-06,-2.4273252,9.950353,0.06579228,9.920572,1
393903214,393903186,0.32731152,5.778781e-06,-1.8165286,10.038172,0.036524758,9.997173,1
394003006,394002978,0.32732755,5.761691e-06,-5.3047442,9.824733,0.318248,9.914842,1
