timestamp,timestamp_last_signal,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source
368551938,368551938,41,0,0,0,1513,1515,1094,1648,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
369069092,369069092,41,0,0,0,1513,1515,1094,1514,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
369566084,369566084,41,0,0,0,1513,1515,1094,1514,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
370053406,370053406,41,0,0,0,1513,1515,1094,1514,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
370555959,370555959,41,0,0,0,1513,1515,1094,1514,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
371067277,371067277,41,0,0,0,1513,1515,1094,1514,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
371558153,371558153,41,0,0,0,1513,1515,1094,1514,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
372053395,372053395,41,0,0,0,1513,1515,1094,1514,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
372566244,372566244,41,0,0,0,1513,1515,1376,1515,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
373060697,373060697,41,0,0,0,1513,1515,1413,1517,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
373559119,373559119,41,0,0,0,1513,1515,1513,1515,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
374054426,374054426,41,0,0,0,1513,1515,1580,1515,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
374567121,374567121,41,0,0,0,1513,1515,1663,1514,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
375070124,375070124,41,0,0,0,1513,1515,1735,1514,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
375565854,375565854,41,0,0,0,1513,1515,1733,1512,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
376060970,376060970,41,0,0,0,1513,1515,1692,1513,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
376560115,376560115,41,0,0,0,1513,1515,1663,1511,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
377072690,377072690,41,0,0,0,1513,1515,1629,1511,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
377553733,377553733,41,0,0,0,1513,1515,1624,1513,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
378056438,378056438,41,0,0,0,1513,1515,1656,1513,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
378566191,378566191,41,0,0,0,1513,1515,1676,1511,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
379063834,379063834,41,0,0,0,1513,1515,1680,1512,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
379559710,379559710,41,0,0,0,1513,1515,1701,1512,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
380056236,380056236,41,0,0,0,1513,1515,1701,1512,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
380553668,380553668,41,0,0,0,1513,1515,1710,1510,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
381069506,381069506,41,0,0,0,1513,1515,1720,1512,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
381564004,381564004,41,0,0,0,1513,1515,1660,1512,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
382058585,382058585,41,0,0,0,1513,1515,1660,1513,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
382554141,382554141,41,0,0,0,1513,1515,1748,1514,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
383070273,383070273,41,0,0,0,1513,1515,1780,1514,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
383568973,383568973,41,0,0,0,1513,1515,1780,1514,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
384064199,384064199,41,0,0,0,1513,1515,1768,1514,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
384554317,384554317,41,0,0,0,1513,1515,1745,1513,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
385044537,385044537,41,0,0,0,1513,1515,1740,1511,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
385566064,385566064,41,0,0,0,1513,1515,1641,1512,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
386065553,386065553,41,0,0,0,1513,1515,1639,1514,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
386561388,386561388,41,0,0,0,1513,1515,1760,1514,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
387059858,387059858,41,0,0,0,1513,1515,1760,1514,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
387556167,387556167,41,0,0,0,1513,1515,1632,1511,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
388053830,388053830,41,0,0,0,1513,1515,1623,1512,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
388569188,388569188,41,0,0,0,1513,1515,1592,1512,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
389056990,389056990,41,0,0,0,1513,1515,1552,1530,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
389551698,389551698,41,0,0,0,1513,1515,1478,1513,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
390053737,390053737,41,0,0,0,1513,1515,1376,1514,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
390554336,390554336,41,0,0,0,1513,1515,1347,1514,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
391071392,391071392,41,0,0,0,1513,1515,1302,1514,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
391566167,391566167,41,0,0,0,1513,1515,1270,1514,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
392068509,392068509,41,0,0,0,1513,1515,1267,1515,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
392558999,392558999,41,0,0,0,1513,1515,1213,1515,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
393065394,393065394,41,0,0,0,1513,1515,1213,1515,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
393563325,393563325,41,0,0,0,1513,1515,1279,1515,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
394054582,394054582,41,0,0,0,1513,1515,1215,1515,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
394556553,394556553,41,0,0,0,1513,1515,1291,1517,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
395055677,395055677,41,0,0,0,1513,1515,1294,1523,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
395567029,395567029,41,0,0,0,1513,1515,1364,1515,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
396066124,396066124,41,0,0,0,1513,1515,1284,1514,1934,1514,1934,1094,1094,1514,1514,1514,1514,1514,1514,1514,998,998,18,0,0,4
