timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,is_external
369042195,369041323,73225,0.6073171,-0.025609756,-0.13292684,47.5,0,1
370045604,370044737,73225,0.60487807,-0.030487806,-0.13414635,47.5,0,1
371045362,371044498,73225,0.6073171,-0.024390243,-0.13780488,47.5,0,1
372047651,372046776,73225,0.60487807,-0.031707317,-0.13658537,47.25,0,1
373048490,373047450,73225,0.6060976,-0.02804878,-0.13780488,47.25,0,1
374042858,374041985,73225,0.60365856,-0.02804878,-0.13780488,47.25,0,1
375045974,375045114,73225,0.6060976,-0.026829269,-0.13536586,47.25,0,1
376045692,376044829,73225,0.60243905,-0.019512195,-0.13780488,47.5,0,1
377049568,377047977,73225,0.6,-0.030487806,-0.14146341,47.5,0,1
378045402,378044528,73225,0.6,-0.029268293,-0.14268292,47.5,0,1
379046436,379045570,73225,0.6060976,-0.018292682,-0.13536586,47.75,0,1
380042944,380042082,73225,0.61219513,-0.007317073,-0.13536586,47.75,0,1
381045143,381044053,73225,0.6073171,-0.019512195,-0.13170731,47.75,0,1
382048242,382047371,73225,0.60365856,-0.024390243,-0.13658537,47.75,0,1
383042526,383041662,73225,0.6060976,-0.021951219,-0.13170731,47.75,0,1
384045347,384044468,73225,0.6073171,-0.023170732,-0.1304878,47.75,0,1
385047230,385046142,73225,0.6060976,-0.025609756,-0.1304878,47.75,0,1
386043411,386042541,73225,0.60487807,-0.019512195,-0.13658537,47.75,0,1
387047143,387046275,73225,0.6097561,-0.004878049,-0.14390244,47.75,0,1
388050523,388049662,73225,0.60487807,-0.0060975607,-0.14268292,47.5,0,1
389044867,389043771,73225,0.6085366,-0.014634146,-0.1304878,47.5,0,1
390047041,390046165,73225,0.6073171,-0.023170732,-0.13292684,47.5,0,1
391049354,391048488,73225,0.61219513,-0.007317073,-0.14146341,47.5,0,1
392042441,392041575,73225,0.6085366,-0.0109756095,-0.13780488,47.5,0,1
393046096,393045233,73225,0.6060976,-0.017073171,-0.12682927,47.5,0,1
394049781,394048701,73225,0.6097561,-0.009756098,-0.12560976,47.5,0,1
395042258,395041274,73225,0.61341465,-0.0109756095,-0.12926829,47.5,0,1
396043932,396043072,73225,0.6170732,-0.014634146,-0.13292684,47.5,0,1
397045081,397044206,73225,0.6073171,-0.020731708,-0.13292684,47.5,0,1
398049494,398047877,73225,0.6073171,-0.017073171,-0.13414635,48.0,0,1
399048850,399047990,73225,0.6085366,-0.0024390244,-0.13658537,47.5,0,1
400043510,400042634,73225,0.6073171,-0.013414634,-0.12926829,48.0,0,1
401045578,401044208,73225,0.6085366,-0.024390243,-0.124390244,47.5,0,1
402049364,402048504,73225,0.6097561,-0.026829269,-0.12560976,47.5,0,1
403049950,403049090,73225,0.6097561,-0.026829269,-0.1304878,47.5,0,1
404042304,404040682,73225,0.60487807,-0.025609756,-0.13536586,48.0,0,1
405044808,405043943,73225,0.60365856,-0.014634146,-0.1402439,47.75,0,1
406046755,406045892,73225,0.6073171,-0.014634146,-0.13170731,47.75,0,1
407050214,407049066,73225,0.6073171,-0.018292682,-0.12926829,47.75,0,1
408041872,408041004,73225,0.6060976,-0.018292682,-0.13536586,47.75,0,1
409049823,409048958,73225,0.60487807,-0.019512195,-0.13170731,47.75,0,1
410051329,410050457,73225,0.6085366,-0.021951219,-0.13170731,47.75,0,1
411044956,411044091,73225,0.60487807,-0.023170732,-0.1304878,47.75,0,1
412049192,412048155,73225,0.6085366,-0.008536586,-0.1402439,47.75,0,1
413043440,413042567,73225,0.6060976,-0.018292682,-0.13536586,48.0,0,1
414045383,414044507,73225,0.60365856,-0.020731708,-0.13658537,48.0,0,1
415047512,415046644,73225,0.60487807,-0.024390243,-0.13536586,48.0,0,1
416049974,416048937,73225,0.6073171,-0.0060975607,-0.13658537,48.0,0,1
417051887,417051025,73225,0.6060976,-0.019512195,-0.12560976,48.0,0,1
418044843,418043970,73225,0.60365856,-0.015853658,-0.1304878,48.25,0,1
419047943,419047082,73225,0.60365856,-0.018292682,-0.13414635,48.25,0,1
420043678,420042807,73225,0.60121953,-0.009756098,-0.1402439,48.25,0,1
421045808,421044941,73225,0.60487807,-0.009756098,-0.13414635,48.25,0,1
422048257,422047393,73225,0.6060976,-0.0036585366,-0.13780488,48.0,0,1
423048672,423047624,73225,0.60487807,-0.007317073,-0.13170731,48.0,0,1
424044517,424043656,73225,0.60487807,-0.008536586,-0.13170731,48.0,0,1
425045900,425045026,73225,0.60365856,-0.008536586,-0.1304878,48.0,0,1
