timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3]
368270175,2162698,2162698,1114122,0,0,0.16980436,0.16980445,0.0,0.0,2162698,2162698,2228234,0,0,0.003610917,0.003610917,0.0,0.0,1,1,0,0,1,1,0,0
368472607,2162698,2162698,1114122,0,0,0.12294157,0.12294157,0.0,0.0,2162698,2162698,2228234,0,0,0.00041854515,0.0004185452,0.0,0.0,1,1,0,0,1,1,0,0
368670414,2162698,2162698,1114122,0,0,0.09903285,0.09903286,0.0,0.0,2162698,2162698,2228234,0,0,0.0018647059,0.0018647059,0.0,0.0,1,1,0,0,1,1,0,0
368872751,2162698,2162698,1114122,0,0,0.09733413,0.09733424,0.0,0.0,2162698,2162698,2228234,0,0,0.0011519187,0.0011519184,0.0,0.0,1,1,0,0,1,1,0,0
369070700,2162698,2162698,1114122,0,0,0.09693565,0.09693553,0.0,0.0,2162698,2162698,2228234,0,0,0.0016751653,0.0016751653,0.0,0.0,1,1,0,0,1,1,0,0
369268425,2162698,2162698,1114122,0,0,0.07769755,0.077697605,0.0,0.0,2162698,2162698,2228234,0,0,0.0027005915,0.002700591,0.0,0.0,1,1,0,0,1,1,0,0
369475329,2162698,2162698,1114122,0,0,0.099022575,0.09902258,0.0,0.0,2162698,2162698,2228234,0,0,0.0014374879,0.0014374875,0.0,0.0,1,1,0,0,1,1,0,0
369673101,2162698,2162698,1114122,0,0,0.1147935,0.114793494,0.0,0.0,2162698,2162698,2228234,0,0,0.0020748782,0.0020748782,0.0,0.0,1,1,0,0,1,1,0,0
369870988,2162698,2162698,1114122,0,0,0.06991187,0.069912,0.0,0.0,2162698,2162698,2228234,0,0,0.0022422401,0.0022422401,0.0,0.0,1,1,0,0,1,1,0,0
370073290,2162698,2162698,1114122,0,0,0.06760032,0.06760031,0.0,0.0,2162698,2162698,2228234,0,0,0.0023103957,0.0023103957,0.0,0.0,1,1,0,0,1,1,0,0
370271183,2162698,2162698,1114122,0,0,0.06278728,0.062787265,0.0,0.0,2162698,2162698,2228234,0,0,0.0011952159,0.0011952162,0.0,0.0,1,1,0,0,1,1,0,0
370469070,2162698,2162698,1114122,0,0,0.1189015,0.118901476,0.0,0.0,2162698,2162698,2228234,0,0,0.0018134583,0.0018134584,0.0,0.0,1,1,0,0,1,1,0,0
370671429,2162698,2162698,1114122,0,0,0.0663707,0.06637075,0.0,0.0,2162698,2162698,2228234,0,0,0.001473202,0.001473202,0.0,0.0,1,1,0,0,1,1,0,0
370873817,2162698,2162698,1114122,0,0,0.12200002,0.122,0.0,0.0,2162698,2162698,2228234,0,0,0.0026838984,0.0026838984,0.0,0.0,1,1,0,0,1,1,0,0
371071744,2162698,2162698,1114122,0,0,0.0700006,0.07000061,0.0,0.0,2162698,2162698,2228234,0,0,0.0026111153,0.0026111153,0.0,0.0,1,1,0,0,1,1,0,0
371273987,2162698,2162698,1114122,0,0,0.0727801,0.07278017,0.0,0.0,2162698,2162698,2228234,0,0,0.0025230828,0.0025230828,0.0,0.0,1,1,0,0,1,1,0,0
371471797,2162698,2162698,1114122,0,0,0.05836685,0.05836688,0.0,0.0,2162698,2162698,2228234,0,0,0.0012529592,0.0012529592,0.0,0.0,1,1,0,0,1,1,0,0
371669742,2162698,2162698,1114122,0,0,0.08727362,0.08727356,0.0,0.0,2162698,2162698,2228234,0,0,0.003525933,0.003525933,0.0,0.0,1,1,0,0,1,1,0,0
371872340,2162698,2162698,1114122,0,0,0.08745804,0.08745798,0.0,0.0,2162698,2162698,2228234,0,0,0.0037503063,0.0037503063,0.0,0.0,1,1,0,0,1,1,0,0
372069862,2162698,2162698,1114122,0,0,0.15023765,0.15023768,0.0,0.0,2162698,2162698,2228234,0,0,0.0044693863,0.0044693863,0.0,0.0,1,1,0,0,1,1,0,0
