timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
369061348,369060730,2162698,-0.29209262,0.24540567,-11.392809,56.48294,0,0,0,0,2
370062673,370061989,2162698,0.05865794,-0.5494693,-11.09114,56.48294,0,0,0,0,2
371062413,371061790,2162698,0.7062895,0.0023942017,-12.121843,56.48294,0,0,0,0,1
372065153,372064513,2162698,0.130484,-0.6739678,-11.4837885,56.48294,0,0,0,0,2
373063482,373062772,2162698,0.33159694,-0.6596026,-10.668563,56.48294,0,0,0,0,2
374063282,374062583,2162698,-0.29688102,-1.4101849,-11.314998,56.48294,0,0,0,0,1
375064432,375063797,2162698,0.90021986,-0.46208093,-10.848128,56.577057,0,0,0,0,1
376061206,376060568,2162698,-0.40581718,-2.231396,-16.242264,56.671177,0,0,0,0,2
377062455,377061828,2162698,0.088585466,-2.802413,-8.762778,56.577057,0,0,0,0,2
378063862,378063135,2162698,-0.2681506,-2.2242134,-13.928268,56.671177,0,0,0,0,2
379062000,379061363,2162698,1.5454572,1.839944,-10.175357,56.765293,0,0,0,0,2
380061744,380061133,2162698,1.1324574,-2.72939,-7.5944076,56.765293,0,0,0,0,1
381063108,381062414,2162698,-2.3295584,-1.910573,-15.136143,56.765293,0,0,0,0,1
382064323,382063692,2162698,1.6496049,-0.50757074,-16.2279,56.85941,0,0,0,0,1
383062555,383061950,2162698,0.2681506,-2.9616275,-13.393165,56.95353,0,0,0,0,1
384062337,384061720,2162698,1.0857705,-1.7381904,-7.404069,57.047646,0,0,0,0,2
385063703,385063002,2162698,-0.18794483,0.45010993,-12.187684,57.047646,0,0,0,0,2
386061970,386061282,2162698,0.088585466,-3.4105403,-8.819042,57.047646,0,0,0,0,2
387061682,387061061,2162698,0.08619126,-0.32800564,-11.27669,57.188824,0,0,0,0,1
388063036,388062342,2162698,0.5793968,-3.1411927,-7.3406224,57.141766,0,0,0,0,1
389062745,389062125,2162698,-0.24779987,-1.9117701,-13.431472,57.141766,0,0,0,0,2
390062537,390061910,2162698,-0.46208093,0.60333884,-7.2831616,57.329998,0,0,0,0,1
391062409,391061702,2162698,0.16879122,-1.4999673,-15.0715,57.424118,0,0,0,0,2
392062197,392061489,2162698,0.46686932,0.9624691,-7.7787614,57.424118,0,0,0,0,1
393064908,393064275,2162698,0.21068975,0.8535329,-15.683218,57.329998,0,0,0,0,2
394063222,394062565,2162698,0.9840169,-1.4820108,-8.748413,57.518234,0,0,0,0,2
395063025,395062357,2162698,-5.056554,-1.3192052,-15.8065195,57.61235,0,0,0,0,1
396064357,396063651,2162698,-1.3072342,-0.30645782,-8.702923,57.518234,0,0,0,0,1
397062559,397061940,2162698,0.62488663,0.89303726,-11.075577,57.70647,0,0,0,0,1
398062355,398061736,2162698,0.62368953,3.4249055,-11.444284,57.800587,0,0,0,0,2
399063722,399063085,2162698,-2.9520507,-0.8403648,-16.091429,57.800587,0,0,0,0,2
400061950,400061330,2162698,-1.5406688,3.5302503,-16.6409,57.894707,0,0,0,0,2
401063262,401062639,2162698,-1.8435353,1.5215151,-17.934965,57.894707,0,0,0,0,2
402063049,402062429,2162698,1.8626889,2.1140802,-14.2622595,57.894707,0,0,0,0,1
403064485,403063775,2162698,-0.521936,0.4261679,-20.669144,57.894707,0,0,0,0,1
404062733,404062036,2162698,-0.25378537,-2.7365725,-14.2862015,57.988823,0,0,0,0,1
405062466,405061837,2162698,2.5689783,-0.18315643,-15.868769,58.08294,0,0,0,0,2
406063828,406063151,2162698,0.45968673,-0.033518825,-10.8624935,58.08294,0,0,0,0,2
407062139,407061448,2162698,0.8463503,1.1611878,-9.257181,58.08294,0,0,0,0,2
408061866,408061255,2162698,1.0007763,0.79008657,-14.822503,58.271175,0,0,0,0,1
409063248,409062569,2162698,0.29927522,-1.4221559,-14.226347,58.271175,0,0,0,0,1
410064585,410063888,2162698,0.48602295,0.47644615,-0.31364042,58.271175,0,0,0,0,1
411061301,411060686,2162698,2.2852654,-0.8379706,-17.058687,58.271175,0,0,0,0,2
412062728,412062015,2162698,0.6404489,-1.5490485,-6.6067996,58.271175,0,0,0,0,2
413063989,413063316,2162698,0.39504328,-0.93134445,-10.375273,58.36529,0,0,0,0,2
414065262,414064621,2162698,-0.031124622,-0.20829555,-5.389348,58.45941,0,0,0,0,2
415062120,415061441,2162698,-1.8483237,0.0047884034,-20.994755,58.45941,0,0,0,0,1
416063388,416062749,2162698,3.0765493,1.3862427,-13.227964,58.36529,0,0,0,0,1
417064711,417064070,2162698,-1.5346833,0.4141969,-17.542316,58.553528,0,0,0,0,1
418061592,418060879,2162698,2.6420016,-2.885013,-9.66659,58.553528,0,0,0,0,2
419062823,419062202,2162698,1.6915035,-1.5275006,-8.707711,58.553528,0,0,0,0,2
420064215,420063525,2162698,0.05865794,-2.0027497,-13.776237,58.553528,0,0,0,0,2
421065485,421064846,2162698,0.51475334,-0.51355624,-10.808623,58.647648,0,0,0,0,2
422062288,422061664,2162698,0.45010993,-0.5554548,-10.453085,58.741764,0,0,0,0,1
423063642,423063000,2162698,0.33997664,-0.39983168,-10.941502,58.741764,0,0,0,0,1
424061943,424061310,2162698,0.32321724,-0.35673606,-10.936713,58.83588,0,0,0,0,1
425061767,425061137,2162698,0.34715924,-0.4165911,-10.94629,58.83588,0,0,0,0,2
