timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
368571603,368570596,2162698,2162698,2.2616885e-05,-1.8971443e-05,2.268151e-05,-5.008121e-05,-0.0015712801,-0.04353451,4496,4496,0,3
369070628,369069723,2162698,2162698,-9.123627e-05,-2.951588e-05,4.1434327e-05,-0.0005184775,-0.004949695,-0.04286171,4490,4490,0,3
369569678,369568873,2162698,2162698,-5.434178e-05,-1.4943514e-05,7.171321e-06,-0.0021554707,-0.004222404,-0.046094585,4447,4447,0,3
370073234,370072482,2162698,2162698,-4.3245094e-05,4.5349675e-06,1.7149425e-05,0.00076892436,-0.00083634636,-0.043398924,4496,4496,0,3
370572533,370571612,2162698,2162698,-7.451151e-05,-5.3332726e-05,-4.6662317e-06,0.0025465558,0.0016685592,-0.040968936,4490,4490,0,3
371071636,371070743,2162698,2162698,-3.7534774e-05,-6.746662e-05,-3.8766248e-05,0.001700713,0.0011355683,-0.043205608,4496,4496,0,3
371575231,371574371,2162698,2162698,5.4319695e-05,3.403738e-05,-0.00011813249,-0.0006182867,0.0013508922,-0.043963034,4489,4489,0,3
372074282,372073511,2162698,2162698,6.9570284e-05,9.818498e-06,-0.00012476576,0.004153019,0.002431584,-0.04114243,4506,4506,0,3
372573369,372572641,2162698,2162698,1.7431774e-05,1.5941603e-05,3.6358815e-05,-0.00020648357,0.0069622956,-0.041308675,4504,4504,0,3
373072643,373071765,2162698,2162698,1.0488029e-05,3.7295336e-05,-4.5313947e-05,0.0016691771,0.0032170916,-0.043517914,4496,4496,0,3
373571685,373570897,2162698,2162698,-0.00015677487,5.393524e-05,0.00011888147,-0.0007603855,0.00019273338,-0.043813746,4497,4497,0,3
374070756,374070029,2162698,2162698,-8.285758e-05,6.27878e-05,-0.00013907974,0.00051684165,-0.0039792215,-0.046134137,4497,4497,0,3
374574431,374573657,2162698,2162698,-7.8243604e-05,-9.304808e-06,9.93365e-05,-0.0022261918,-0.0005988713,-0.045438014,4496,4496,0,3
375073539,375072794,2162698,2162698,6.12941e-05,-5.9265774e-05,-5.1494935e-05,-0.002088333,-0.0013954244,-0.04828029,4495,4495,0,3
375572729,375571923,2162698,2162698,-7.618801e-05,0.00010129917,-3.0910214e-05,0.0046246746,-0.0010429313,-0.045042742,4497,4497,0,3
376071841,376071077,2162698,2162698,-7.199743e-05,-0.00035575117,-2.4047325e-05,-0.004786008,0.00015975072,-0.06379948,4518,4518,0,3
376570919,376570189,2162698,2162698,-0.0003844932,0.00032847744,-5.487567e-05,0.008553835,-0.0030985663,-0.023982977,4497,4497,0,3
377070072,377069323,2162698,2162698,0.00031634994,-4.071883e-05,2.7537471e-05,-0.0033867985,0.0019510156,-0.056879222,4497,4497,0,3
377573664,377572953,2162698,2162698,0.00046779198,-0.00034957315,0.00017954914,-0.003419416,-0.00661434,-0.040000282,4494,4494,0,3
378072910,378072091,2162698,2162698,-0.00025649308,-4.309276e-05,-8.3322186e-05,0.004996538,0.0014365349,-0.048420757,4501,4501,0,3
379071268,379070357,2162698,2162698,-0.00015639735,-5.1226754e-05,-1.3001391e-05,-0.0021351995,-0.00481296,-0.026693583,4497,4497,0,3
379570289,379569492,2162698,2162698,4.686205e-05,0.00021745254,-4.787742e-05,0.007111124,-0.003184958,-0.03772709,4493,4493,0,3
380069380,380068639,2162698,2162698,0.00042938587,-0.000193857,5.470746e-05,-0.010686991,0.0061044996,-0.055873375,4508,4508,0,3
380573004,380572260,2162698,2162698,0.00020211187,-0.00011575507,7.6105493e-06,-0.0067751566,-0.00089045375,-0.059123922,4496,4496,0,3
381072119,381071397,2162698,2162698,0.00016302653,-4.0882715e-05,-0.000108621345,0.0019834593,-0.01206919,-0.04263412,4497,4497,0,3
381571309,381570533,2162698,2162698,-0.0003934194,0.00028818284,-4.8892096e-05,0.001169833,-0.008751075,-0.007499326,4496,4496,0,3
382074954,382074167,2162698,2162698,-0.00039292386,4.4720007e-05,2.4007926e-05,-0.0025942964,-0.0023525718,-0.014581518,4497,4497,0,3
382574130,382573307,2162698,2162698,-0.00012367553,0.00040006632,-3.3519067e-05,0.006054472,0.0067405165,-0.036869347,4499,4499,0,3
383073187,383072442,2162698,2162698,-0.00014106795,0.00046001613,-8.3636995e-05,0.0050314246,0.0072174068,-0.04874453,4497,4497,0,3
383572316,383571590,2162698,2162698,-2.6330797e-05,9.1065755e-05,-1.5371805e-05,0.0017691341,0.010244313,-0.05444095,4506,4506,0,3
