timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
368558864,368549902,73225,0.40747952,0.0279378,-0.19989006,3
369066410,369057429,73225,0.4051978,0.025217101,-0.19646375,3
369572816,369563517,73225,0.4047699,0.025203606,-0.19730972,3
370053762,370044705,73225,0.4059691,0.023242842,-0.19698313,3
370557826,370549046,73225,0.4086493,0.029113024,-0.20075047,3
371061931,371052632,73225,0.40751475,0.025984555,-0.19866495,3
371566724,371557742,73225,0.40927076,0.03612849,-0.20656174,3
372071575,372062612,73225,0.40561068,0.025224594,-0.19604735,3
372553205,372543524,73225,0.4074906,0.027155306,-0.19948593,3
373056442,373047489,73225,0.4063748,0.024821332,-0.19694546,3
373562903,373553605,73225,0.4059214,0.028732326,-0.198953,3
374067219,374058170,73225,0.4044486,0.025626365,-0.19513611,3
374572457,374563398,73225,0.40693212,0.04007402,-0.20549673,3
375054161,375045194,73225,0.4055919,0.024430096,-0.19650231,3
375558066,375548919,73225,0.4077295,0.037323266,-0.20518243,3
376061771,376052767,73225,0.40277526,0.030309375,-0.19793794,3
376568046,376558891,73225,0.40509748,0.029111587,-0.1997731,3
377073587,377064556,73225,0.4030084,0.02709688,-0.2023482,3
377555110,377546159,73225,0.40558156,0.029382823,-0.2088072,3
378061449,378052532,73225,0.4029481,0.023924885,-0.2037385,3
378566060,378556744,73225,0.4067422,0.04393251,-0.21138339,3
379070100,379061301,73225,0.4060173,0.033099066,-0.1966655,3
379553182,379544298,73225,0.4108202,0.039658703,-0.20821816,3
380059281,380050122,73225,0.4081219,0.03826777,-0.19398874,3
380563991,380554958,73225,0.40921003,0.042006224,-0.20894848,3
381069220,381060106,73225,0.40941176,0.03044127,-0.1904163,3
381551818,381542427,73225,0.4097613,0.042856216,-0.20464072,3
382056333,382047362,73225,0.4039576,0.027948363,-0.1980536,3
382562589,382553645,73225,0.4085847,0.034202263,-0.2031626,3
383067213,383057933,73225,0.40654355,0.028823823,-0.19252288,3
383572776,383563779,73225,0.40965113,0.03155951,-0.19511639,3
384053583,384044470,73225,0.4094262,0.027299281,-0.18965887,3
384558273,384548993,73225,0.408396,0.03428477,-0.19713578,3
385063155,385054191,73225,0.40853724,0.029619787,-0.19256318,3
385569079,385560207,73225,0.40880072,0.029567277,-0.19644229,3
386052086,386042555,73225,0.40478778,0.031899836,-0.19752328,3
386557117,386548246,73225,0.4059937,0.037417803,-0.19781439,3
387063608,387054249,73225,0.40667397,0.03816129,-0.20125163,3
387569404,387560287,73225,0.40553403,0.03699806,-0.19953214,3
388074480,388065647,73225,0.4075321,0.041730516,-0.19987494,3
388555681,388546830,73225,0.40643072,0.03625455,-0.196577,3
389061439,389051957,73225,0.4081754,0.033961035,-0.19198075,3
389566033,389556988,73225,0.40601012,0.034670062,-0.19704422,3
390071064,390062141,73225,0.4086274,0.03280378,-0.1903138,3
390552366,390542818,73225,0.4080771,0.03824977,-0.1952774,3
391057391,391048516,73225,0.4102735,0.044870954,-0.20158349,3
391562134,391553318,73225,0.40677616,0.03466105,-0.1979296,3
392066924,392057793,73225,0.41069317,0.040159464,-0.20046043,3
392572888,392563985,73225,0.4059908,0.03072757,-0.19717127,3
393054011,393045230,73225,0.4099934,0.034451257,-0.18557738,3
393559700,393550287,73225,0.41027325,0.04384872,-0.19001064,3
394065705,394056748,73225,0.41074938,0.041520722,-0.18752271,3
394570215,394561158,73225,0.40988156,0.035980247,-0.18896294,3
395051149,395041268,73225,0.4153996,0.04030789,-0.19115493,3
395553707,395544717,73225,0.41201842,0.032505475,-0.18441796,3
396059886,396050929,73225,0.4149062,0.039087653,-0.1937572,3
396564666,396555470,73225,0.40905428,0.038719006,-0.19013636,3
397068827,397060012,73225,0.40616152,0.035124313,-0.19273603,3
397550913,397542065,73225,0.4071741,0.034662537,-0.19794273,3
398057421,398048116,73225,0.4089921,0.035152763,-0.19153938,3
398561133,398552089,73225,0.40968007,0.037473243,-0.19492581,3
399064702,399055875,73225,0.41042924,0.0492617,-0.1975778,3
399570506,399561403,73225,0.40889716,0.03708201,-0.19448268,3
400051605,400042635,73225,0.40780973,0.037513778,-0.1914237,3
400556817,400547873,73225,0.4093501,0.03002302,-0.19214723,3
401061472,401052411,73225,0.41039234,0.028551012,-0.18492198,3
401567034,401557944,73225,0.4107942,0.029341009,-0.18490973,3
402073118,402064261,73225,0.40859848,0.026890045,-0.19050437,3
402553732,402544354,73225,0.41066012,0.032434996,-0.18910357,3
403057910,403049081,73225,0.40783054,0.02650481,-0.1896317,3
403562138,403553117,73225,0.4092382,0.031552017,-0.1955328,3
404066263,404057249,73225,0.40561506,0.029161084,-0.19634984,3
404571172,404561832,73225,0.4039677,0.0330676,-0.19831797,3
405052733,405043882,73225,0.40640807,0.034671556,-0.19705737,3
405557690,405548508,73225,0.4072498,0.040988527,-0.19645081,3
406063354,406054004,73225,0.40775913,0.03631303,-0.19275045,3
406568480,406559590,73225,0.40983915,0.03950449,-0.19056678,3
407074264,407065137,73225,0.4082656,0.037145022,-0.18973136,3
407554430,407545567,73225,0.4110193,0.04682119,-0.20326445,3
408057934,408048964,73225,0.40598363,0.032298565,-0.19755,3
408561625,408552842,73225,0.40879494,0.040582247,-0.19780473,3
409066338,409056848,73225,0.40697962,0.033562303,-0.19195402,3
409570930,409561912,73225,0.40964484,0.039426487,-0.19615094,3
410075265,410066260,73225,0.40895984,0.031598523,-0.19208327,3
410556643,410547744,73225,0.4099638,0.035461493,-0.19800934,3
411060860,411052004,73225,0.40699217,0.030026061,-0.19120929,3
411567536,411558700,73225,0.40691456,0.035503548,-0.19403826,3
412073695,412064390,73225,0.40672264,0.03896779,-0.19993758,3
412554407,412545356,73225,0.405097,0.038161315,-0.20076953,3
413059646,413050516,73225,0.40555286,0.037792556,-0.19907717,3
413564997,413555330,73225,0.40592235,0.035028312,-0.1996088,3
414069223,414060393,73225,0.40647513,0.033124562,-0.19496045,3
414551278,414542156,73225,0.40594792,0.031103818,-0.19844721,3
415055582,415046631,73225,0.40645194,0.028393572,-0.19511291,3
415561446,415552336,73225,0.40811762,0.034331284,-0.19368625,3
416066061,416057014,73225,0.40875202,0.040958494,-0.19908068,3
416572041,416562784,73225,0.40971908,0.036308497,-0.19367528,3
417075818,417066893,73225,0.409803,0.03516175,-0.1911361,3
417556993,417548155,73225,0.40652665,0.040621288,-0.19428949,3
418061338,418051900,73225,0.404944,0.03943857,-0.19384548,3
418567202,418558247,73225,0.40486926,0.03940857,-0.19599323,3
419072019,419062920,73225,0.4031549,0.032664366,-0.19873393,3
419554030,419545150,73225,0.41547212,0.03892141,-0.17744705,3
420059772,420050712,73225,0.40235656,0.041316852,-0.19971679,3
420565365,420556399,73225,0.40739974,0.044196516,-0.19248323,3
421070163,421060896,73225,0.4062463,0.040273547,-0.19085264,3
421551562,421542426,73225,0.40574092,0.045737535,-0.1945276,3
422056481,422047365,73225,0.40834972,0.04921823,-0.20008938,3
422560674,422551205,73225,0.4076502,0.044532254,-0.19677916,3
423064687,423055702,73225,0.40620968,0.044980537,-0.19241838,3
423570790,423561834,73225,0.4073289,0.04495501,-0.19460557,3
424052499,424043657,73225,0.4065773,0.04182204,-0.19296274,3
424561306,424552186,73225,0.40654597,0.04456378,-0.19416246,3
425069830,425060862,73225,0.40763426,0.05042799,-0.19787723,3
