timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,accel_bias_valid,mag_bias_valid
375011688,375009836,2162698,-0.0067887167,0.0018913677,-0.0021150054,0.34906584,1.9602058e-09,1.960215e-09,3.3886889e-09,2162698,0.0,0.0,-0.08225936,0.4,0.00039887227,0.00039887227,4.985912e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
375209953,375207691,2162698,-0.0068132766,0.001899297,-0.0021215805,0.34906584,1.9644546e-09,1.9644653e-09,3.3969436e-09,2162698,0.0,0.0,-0.08125096,0.4,0.00039975505,0.00039975505,4.9969376e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
375602038,375598903,2162698,-0.006798864,0.0018920593,-0.0021132305,0.34906584,1.9621458e-09,1.9621589e-09,3.3931637e-09,2162698,0.0029683528,0.0045303204,-0.08046038,0.4,0.00038283452,0.00038283464,4.990621e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
375800157,375796763,2162698,-0.006810457,0.0018932729,-0.002108663,0.34906584,1.9701911e-09,1.970205e-09,3.3983343e-09,2162698,0.005188069,0.0072363624,-0.08047225,0.4,0.00035378468,0.000353785,5.000651e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
376002091,375999108,2162698,-0.006798187,0.0018914663,-0.0021003888,0.34906584,1.9739288e-09,1.973942e-09,3.3915013e-09,2162698,-0.001180901,0.0013951476,-0.079793446,0.4,0.00031164728,0.00031164777,4.9894634e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
376200139,376196968,2162698,-0.0068166866,0.0018954893,-0.0021033082,0.34906584,1.9901134e-09,1.9901252e-09,3.3993268e-09,2162698,-0.0036437912,-0.009314407,-0.07983533,0.4,0.00026707706,0.0002670767,4.999859e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
376402725,376399315,2162698,-0.006796709,0.0018857606,-0.0020967366,0.34906584,2.0002708e-09,2.000281e-09,3.3896874e-09,2162698,0.008861835,0.0022666105,-0.08099374,0.4,0.00022425993,0.00022425751,4.988082e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
376600533,376597169,2162698,-0.006811141,0.0018871954,-0.0020969505,0.34906584,2.0216744e-09,2.021682e-09,3.3974268e-09,2162698,0.014925552,0.00078458205,-0.081080824,0.4,0.00018820289,0.00018819909,4.998354e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
376802677,376799520,2162698,-0.006789685,0.001880693,-0.0020914844,0.34906584,2.0354187e-09,2.0354234e-09,3.3900747e-09,2162698,0.02085614,0.028222429,-0.08081471,0.4,0.00015778557,0.00015778124,4.986416e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
376991326,376988405,2162698,-0.0067975647,0.0018824639,-0.0020938744,0.34906584,2.0561384e-09,2.05614e-09,3.3938972e-09,2162698,0.01893053,0.032084793,-0.08047059,0.4,0.00013415572,0.00013415058,4.992391e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
