timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
368082403,-0.0,-0.0,-0.06200923,0.0,0.9995194,-0.0,0.0,-0.030999647,0.0,0.0,-0.001,0,0,0,0,0
368117911,-0.0,-0.0,-0.060592234,0.0,0.9995411,-0.0,0.0,-0.030291485,0.0,0.0,-0.001,0,0,0,0,0
368172338,-0.0,-0.0,-0.060501095,0.0,0.9995425,-0.0,0.0,-0.030245936,0.0,0.0,-0.001,0,0,0,0,0
368221548,-0.0,-0.0,-0.06104388,0.0,0.99953425,-0.0,0.0,-0.030517202,0.0,0.0,-0.001,0,0,0,0,0
368271056,-0.0,-0.0,-0.06188055,0.0,0.9995214,-0.0,0.0,-0.030935341,0.0,0.0,-0.001,0,0,0,0,0
368321029,-0.0,-0.0,-0.061137896,0.0,0.9995328,-0.0,0.0,-0.03056419,0.0,0.0,-0.001,0,0,0,0,0
368370110,-0.0,-0.0,-0.060692865,0.0,0.99953955,-0.0,0.0,-0.030341774,0.0,0.0,-0.001,0,0,0,0,0
368419622,-0.0,-0.0,-0.06117569,0.0,0.9995322,-0.0,0.0,-0.030583078,0.0,0.0,-0.001,0,0,0,0,0
368469047,-0.0,-0.0,-0.06175279,0.0,0.99952334,-0.0,0.0,-0.030871486,0.0,0.0,-0.001,0,0,0,0,0
368524272,-0.0,-0.0,-0.06117592,0.0,0.9995322,-0.0,0.0,-0.030583194,0.0,0.0,-0.001,0,0,0,0,0
368572538,-0.0,-0.0,-0.06091027,0.0,0.9995363,-0.0,0.0,-0.03045043,0.0,0.0,-0.001,0,0,0,0,0
368621779,-0.0,-0.0,-0.0612471,0.0,0.99953115,-0.0,0.0,-0.030618766,0.0,0.0,-0.001,0,0,0,0,0
368671136,-0.0,-0.0,-0.06155713,0.0,0.9995264,-0.0,0.0,-0.030773709,0.0,0.0,-0.001,0,0,0,0,0
368720784,-0.0,-0.0,-0.06117341,0.0,0.9995323,-0.0,0.0,-0.030581934,0.0,0.0,-0.001,0,0,0,0,0
