timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
385018802,385000376,3997706,98.37091,51.52,100149.0,1.1899358
385249650,385225903,3997706,98.81218,51.52,100143.75,1.1898733
385469968,385448876,3997706,98.51889,51.53,100147.25,1.1899151
385637890,385616739,3997706,98.70913,51.53,100144.99,1.1898881
385858202,385839703,3997706,98.91787,51.539997,100142.49,1.1898584
386026206,386007626,3997706,98.68799,51.55,100145.24,1.1898912
386257036,386233286,3997706,98.93901,51.55,100142.24,1.1898555
386424901,386401142,3997706,99.12926,51.55,100140.0,1.1898289
386645154,386624038,3997706,99.12926,51.57,100139.99,1.1898288
386865521,386846995,3997706,99.02357,51.57,100141.25,1.1898437
387033336,387014867,3997706,99.52825,51.57,100135.25,1.1897724
387264278,387240479,3997706,99.19268,51.579998,100139.24,1.1898198
387432047,387408350,3997706,99.65244,51.579998,100133.75,1.1897546
387652411,387631304,3997706,100.07257,51.59,100128.75,1.1896951
387820356,387799226,3997706,100.011795,51.59,100129.5,1.1897041
388040625,388022165,3997706,100.011795,51.6,100129.5,1.1897041
388271469,388247716,3997706,99.9061,51.6,100130.75,1.189719
388439351,388415603,3997706,100.13598,51.61,100128.0,1.1896863
388659715,388638579,3997706,100.28396,51.62,100126.25,1.1896654
388827740,388806466,3997706,100.09635,51.62,100128.5,1.1896923
389047854,389029469,3997706,100.114845,51.62,100128.25,1.1896892
389215776,389197324,3997706,100.03029,51.629997,100129.26,1.1897012
389446654,389422954,3997706,99.7185,51.64,100132.99,1.1897457
389667051,389645867,3997706,100.32623,51.64,100125.75,1.1896596
389834972,389813770,3997706,99.86382,51.649998,100131.25,1.1897249
390055228,390036718,3997706,99.884964,51.66,100131.0,1.189722
390223137,390204570,3997706,100.24168,51.66,100126.75,1.1896714
390453891,390430173,3997706,100.32623,51.67,100125.75,1.1896596
390674292,390653218,3997706,100.49534,51.67,100123.75,1.1896358
390842331,390821081,3997706,100.38965,51.67,100124.99,1.1896505
391062664,391044037,3997706,100.114845,51.68,100128.25,1.1896892
391230364,391211869,3997706,99.84269,51.69,100131.5,1.1897278
391461193,391437442,3997706,100.49534,51.69,100123.75,1.1896358
391629119,391605326,3997706,99.94838,51.699997,100130.25,1.189713
391849353,391828297,3997706,99.75813,51.71,100132.49,1.1897396
392069728,392051323,3997706,99.50712,51.71,100135.5,1.1897755
392237630,392219240,3997706,99.84269,51.719997,100131.5,1.1897278
392468520,392444747,3997706,100.30509,51.719997,100126.0,1.1896625
392636364,392612624,3997706,100.09635,51.73,100128.5,1.1896923
392856667,392835602,3997706,99.58902,51.73,100134.5,1.1897635
393024581,393003476,3997706,99.06585,51.739998,100140.75,1.1898378
393244882,393226422,3997706,99.94838,51.75,100130.26,1.189713
393412766,393394315,3997706,99.08698,51.75,100140.5,1.1898347
