timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,current_average_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],voltage_cell_v[10],voltage_cell_v[11],voltage_cell_v[12],voltage_cell_v[13],max_cell_voltage_delta,average_power,available_energy,remaining_capacity,design_capacity,nominal_voltage,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,manufacture_date,state_of_health,max_error,interface_error,average_time_to_full,over_discharge_count,connected,source,priority,id,is_powering_off,warning
368080599,23.524721,23.741102,0.0,3.5e-44,-1.0,0.000497488,0.65307194,1.0613698,nan,6,3.9568503,3.9568503,3.9568503,3.9568503,3.9568503,3.9568503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
368271721,23.508291,23.702074,0.0,3.5e-44,-1.0,0.000497488,0.6437798,1.0631173,nan,6,3.9503458,3.9503458,3.9503458,3.9503458,3.9503458,3.9503458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
368470546,23.54936,23.681025,0.0,3.5e-44,-1.0,0.000497488,0.6387678,1.0640622,nan,6,3.9468374,3.9468374,3.9468374,3.9468374,3.9468374,3.9468374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
368671957,23.491863,23.658766,0.0,3.5e-44,-1.0,0.000497488,0.6334682,1.0650632,nan,6,3.9431276,3.9431276,3.9431276,3.9431276,3.9431276,3.9431276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
368870541,23.590431,23.64753,0.0,3.5e-44,-1.0,0.000497488,0.6307927,1.0655693,nan,6,3.9412549,3.9412549,3.9412549,3.9412549,3.9412549,3.9412549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
369072325,23.639713,23.635277,0.0,3.5e-44,-1.0,0.000497488,0.6278754,1.0661217,nan,6,3.9392128,3.9392128,3.9392128,3.9392128,3.9392128,3.9392128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
369270548,23.48365,23.63611,0.0,3.5e-44,-1.0,0.000497488,0.6280742,1.066084,nan,6,3.9393518,3.9393518,3.9393518,3.9393518,3.9393518,3.9393518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
369471681,23.779352,23.633474,0.0,3.5e-44,-1.0,0.000497488,0.62744623,1.066203,nan,6,3.9389124,3.9389124,3.9389124,3.9389124,3.9389124,3.9389124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
369670573,23.532934,23.622475,0.0,3.5e-44,-1.0,0.000497488,0.62482744,1.0666994,nan,6,3.9370792,3.9370792,3.9370792,3.9370792,3.9370792,3.9370792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
369870545,23.426151,23.61873,0.0,3.5e-44,-1.0,0.000497488,0.62393576,1.0668685,nan,6,3.936455,3.936455,3.936455,3.936455,3.936455,3.936455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
370070591,23.516504,23.598627,0.0,3.5e-44,-1.0,0.000497488,0.61914927,1.0677773,nan,6,3.9331045,3.9331045,3.9331045,3.9331045,3.9331045,3.9331045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
370270613,23.434364,23.596888,0.0,3.5e-44,-1.0,0.000497488,0.6187354,1.067856,nan,6,3.9328146,3.9328146,3.9328146,3.9328146,3.9328146,3.9328146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
370470917,23.64793,23.589245,0.0,3.5e-44,-1.0,0.000497488,0.6169153,1.0682019,nan,6,3.9315407,3.9315407,3.9315407,3.9315407,3.9315407,3.9315407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
370670588,23.656143,23.58375,0.0,3.5e-44,-1.0,0.000497488,0.6156073,1.0684508,nan,6,3.930625,3.930625,3.930625,3.930625,3.930625,3.930625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
370870945,23.615072,23.587723,0.0,3.5e-44,-1.0,0.000497488,0.6165529,1.0682708,nan,6,3.931287,3.931287,3.931287,3.931287,3.931287,3.931287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
371070606,23.705425,23.587383,0.0,3.5e-44,-1.0,0.000497488,0.6164723,1.0682862,nan,6,3.9312305,3.9312305,3.9312305,3.9312305,3.9312305,3.9312305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
