timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
390070379,390070073,1114122,2228234,0.00034950214,-0.00020655396,-5.7892787e-05,-0.0066875475,0.0036385264,-0.05596156,4529,4436,0,3
390572405,390572282,1114122,2228234,-0.00032650479,-0.00048120893,-0.00012634446,0.0039423634,0.008159805,-0.06631521,5322,5796,0,3
391073153,391072830,1114122,2228234,2.3221117e-05,4.4709475e-05,0.00011191037,-0.0009884884,-0.00949814,-0.049267855,5370,6034,0,3
391569327,391568964,1114122,2228234,0.00022917276,-0.00018479522,0.00021643167,0.0028248401,0.004798401,-0.070655175,7446,7350,0,3
392071542,392069640,1114122,2228234,0.00021636457,5.338541e-05,1.9252995e-05,-0.005884206,0.0038115934,-0.059549496,4490,4490,0,3
392572053,392571821,1114122,2228234,-1.3686869e-05,0.0001592343,2.87864e-05,0.0064585176,-0.0044511515,-0.033187903,4534,4715,0,3
393076043,393075463,1114122,2228234,0.00023454802,-2.260114e-05,-0.00011000189,-0.0064151464,-0.00070423645,-0.046342045,4518,4501,0,3
393576195,393574563,1114122,2228234,-0.00041027405,0.00011066324,-0.0002964711,0.0056408914,0.001926314,-0.044901606,5318,4638,0,3
394070819,394070711,1114122,2228234,0.00043430686,-0.00026218334,0.000121161494,-0.006529023,-0.010577085,-0.03886021,5256,5646,0,3
394565512,394565404,1114122,2228234,-0.00029750628,8.683152e-05,0.00021918239,0.004195636,0.0001683009,-0.056408927,5884,5745,0,3
395070993,395070559,1114122,2228234,0.00025273795,0.00017769459,7.3444986e-05,-0.011780483,-0.0026212754,-0.060517367,4529,4529,0,3
395570074,395569816,1114122,2228234,0.00028703848,9.8713776e-05,-4.36237e-05,-0.0025292474,0.0016903764,-0.061479777,4685,5237,0,3
396065966,396065834,1114122,2228234,0.00019400984,-7.058602e-05,-5.4011474e-05,-0.003567543,-0.00025482883,-0.041288365,5529,4448,0,3
396571104,396570996,1114122,2228234,4.0473544e-05,-0.00046904833,1.474135e-05,-0.0035189665,0.00022163747,-0.048286263,4569,4476,0,3
397071996,397071705,1114122,2228234,6.870882e-05,0.0004529806,4.591277e-05,0.003553766,0.0059384205,-0.0626083,6013,5711,0,3
397566972,397566293,1114122,2228234,0.000103448365,8.965646e-05,1.8516073e-05,-0.0034761105,0.002866689,-0.04180596,4488,4496,0,3
398071657,398071417,1114122,2228234,-0.0003341571,-0.00013243439,-4.316449e-05,0.0018394428,-0.0043934467,-0.041750632,4399,4414,0,3
398573868,398573529,1114122,2228234,6.66243e-05,-1.0658117e-05,-2.1534528e-05,0.0035201279,-0.005116666,-0.04585097,4472,4716,0,3
399073073,399072700,1114122,2228234,0.00018512405,-0.00017757705,5.1851242e-05,-0.003718791,-0.0027174219,-0.03688428,4544,4379,0,3
399572247,399571964,1114122,2228234,-0.00030328525,0.0001009091,7.785819e-06,0.003806145,0.006681273,-0.05519548,5300,5881,0,3
400067276,400066542,1114122,2228234,0.0002341885,0.00042245843,4.599818e-05,0.0008756371,0.0023159378,-0.044010412,4578,4845,0,3
400568822,400567158,1114122,2228234,0.00020732381,-5.6871875e-05,5.6218843e-05,-0.0060997447,0.00018573408,-0.05717111,4476,4452,0,3
401071135,401071031,1114122,2228234,-0.000349961,-0.00010256548,-6.147958e-05,0.0014930597,-0.00040329347,-0.050564967,4754,4321,0,3
401571629,401569902,1114122,2228234,8.832343e-05,3.1984047e-05,0.00012264449,-0.001411226,-0.0003421212,-0.02635896,4451,4446,0,3
402072427,402072065,1114122,2228234,-5.6058674e-05,-9.840303e-05,4.262559e-05,0.0034574587,-0.0011213551,-0.03489335,4506,4747,0,3
402572985,402572838,1114122,2228234,0.0001099378,4.758133e-06,-1.736332e-05,0.0060870047,0.011684841,-0.07267438,5318,5894,0,3
403069000,403067388,1114122,2228234,-4.8126487e-05,-0.00014312156,2.3089598e-05,-0.002637811,0.010067728,-0.08016743,4525,6009,0,3
