timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
368274390,0.0,0.0,0.0,0.0
368473828,0.0,0.0,0.0,0.0
368673092,0.0,0.0,0.0,0.0
368872451,0.0,0.0,0.0,0.0
369071792,0.0,0.0,0.0,0.0
369275655,0.0,0.0,0.0,0.0
369474995,0.0,0.0,0.0,0.0
369674414,0.0,0.0,0.0,0.0
369873753,0.0,0.0,0.0,0.0
370073045,0.0,0.0,0.0,0.0
370272424,0.0,0.0,0.0,0.0
370471813,0.0,0.0,0.0,0.0
370672623,0.0,0.0,0.0,0.0
370874961,0.0,0.0,0.0,0.0
371072807,0.0,0.0,0.0,0.0
371273657,0.0,0.0,0.0,0.0
371473085,0.0,0.0,0.0,0.0
371672431,0.0,0.0,0.0,0.0
371873215,0.0,0.0,0.0,0.0
372075593,0.0,0.0,0.0,0.0
372274926,0.0,0.0,0.0,0.0
372474270,0.0,0.0,0.0,0.0
372673633,0.0,0.0,0.0,0.0
372872981,0.0,0.0,0.0,0.0
373073840,0.0,0.0,0.0,0.0
373273247,0.0,0.0,0.0,0.0
373475547,0.0,0.0,0.0,0.0
373674891,0.0,0.0,0.0,0.0
373874289,0.0,0.0,0.0,0.0
374073619,0.0,0.0,0.0,0.0
374274454,0.0,0.0,0.0,0.0
374472389,0.0,0.0,0.0,0.0
374671709,0.0,0.0,0.0,0.0
374872503,0.0,0.0,0.0,0.0
375074861,0.0,0.0,0.0,0.0
375272732,0.0,0.0,0.0,0.0
375473560,0.0004455434,0.00038247084,4.9428967e-05,0.0
375672923,0.00010216907,0.000541929,-0.00013036239,0.0
375872332,0.00072261266,0.0008004894,-0.00016612031,0.0
376071639,0.0022736043,0.004069879,-0.00019795354,0.0
376275484,0.0057999017,0.00713893,0.00016205106,0.0
376474832,0.0037737275,0.008420408,0.00082771044,0.0
376674178,0.0053726425,0.008332656,0.0013845175,0.0
376873539,0.006568132,0.010917882,0.0018528808,0.0
377072948,0.007548649,0.011656026,0.0022054447,0.0
377272255,0.0069398563,0.013095733,0.002498149,0.0
377471608,0.006810173,0.013081299,0.002762526,0.0
377675456,0.0066362466,0.013638098,0.002816768,0.0
377874804,0.00645699,0.0136256395,0.0029028659,0.0
378074204,0.006831812,0.013412065,0.002970442,0.0
378273548,0.007646115,0.014243015,0.0033830486,0.0
378472859,0.008008088,0.013564229,0.0039000213,0.0
378672222,0.008040163,0.014296572,0.004531992,0.0
378871591,0.007358137,0.014097815,0.0051636896,0.0
379072444,0.0077945376,0.013937763,0.0059535983,0.0
379274787,0.007152628,0.014176627,0.006712672,0.0
379472632,0.006739009,0.0142633775,0.0070573436,0.0
379673489,0.005788859,0.01574926,0.0073334523,0.0
379872880,0.006175952,0.014769563,0.0075781215,0.0
380072246,0.006390253,0.014616307,0.0077759777,0.0
380271548,0.0066924985,0.01474622,0.007877497,0.0
380475412,0.0062217135,0.015720995,0.007830143,0.0
380674756,0.006178103,0.016197633,0.007965256,0.0
380874115,0.005802633,0.01708678,0.008350767,0.0
381073480,0.0048707635,0.016277045,0.008694625,0.0
381272860,0.004850746,0.016499657,0.009175233,0.0
381472176,0.0045347447,0.017407984,0.009652462,0.0
381671526,0.0047077555,0.016036237,0.009824066,0.0
381873879,0.004333124,0.016290294,0.0096083945,0.0
382074739,0.004782433,0.016347755,0.009425413,0.0
382274131,0.005050047,0.016496116,0.00916843,0.0
382473511,0.0054133614,0.015910711,0.008942404,0.0
