timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,samples
369064468,369064445,2228234,-0.032986727,0.028099803,0.0024434612,53.0,0,1
370064218,370064202,2228234,-0.034208458,0.02199115,0.013439037,53.0,0,1
371063977,371063961,2228234,-0.037873648,0.013439037,0.020769421,52.0,0,1
372066656,372066640,2228234,-0.048869222,0.0036651918,-0.006108653,53.0,0,1
373064947,373064931,2228234,-0.047647495,0.01954769,0.013439037,53.0,0,1
374064717,374064701,2228234,-0.0012217306,0.032986727,-0.010995575,53.0,0,1
375065961,375065945,2228234,-0.030543266,0.04031711,0.03909538,53.0,0,1
376063205,376063188,2228234,-0.08918633,0.04276057,0.01954769,53.0,0,1
377064161,377064138,2228234,0.06108653,-0.051312685,0.028099803,53.0,0,1
378065289,378065272,2228234,-0.0085521145,-0.0085521145,0.017104229,53.0,0,1
379062630,379062612,2228234,-0.015882498,0.10506883,-0.0024434612,53.0,0,1
380063628,380063609,2228234,-0.01954769,-0.0720821,0.028099803,53.0,0,1
381065341,381065325,2228234,0.10873403,0.046425764,0.017104229,54.0,0,1
382065830,382065814,2228234,-0.050090954,0.0720821,-0.0073303836,53.0,0,1
383064098,383064082,2228234,-0.10995576,-0.026878074,-0.0085521145,53.0,0,1
384065410,384065394,2228234,-0.053756148,0.013439037,-0.0048869224,53.0,0,1
385064402,385064368,2228234,-0.10018191,0.030543266,0.0085521145,53.0,0,1
386063587,386063560,2228234,0.0,-0.068416916,0.01954769,53.0,0,1
387063403,387063369,2228234,-0.03909538,0.025656343,-0.0012217306,53.0,0,1
388065191,388065175,2228234,-0.010995575,0.03543019,0.014660767,54.0,0,1
389064424,389064401,2228234,-0.053756148,0.0,0.0,54.0,0,1
390064218,390064192,2228234,-0.026878074,0.012217306,0.03909538,54.0,0,1
391063878,391063857,2228234,0.017104229,-0.014660767,0.051312685,54.0,0,1
392062287,392062265,2228234,-0.084299415,0.056199607,0.017104229,54.0,0,1
393067920,393067904,2228234,0.06475172,0.026878074,0.0,54.0,0,1
394064072,394064055,2228234,0.0012217306,0.045204032,0.028099803,54.0,0,1
395066046,395066030,2228234,-0.014660767,-0.026878074,0.050090954,54.0,0,1
396065850,396065834,2228234,0.032986727,0.098960176,0.010995575,54.0,0,1
397064093,397064077,2228234,-0.057421338,0.0,0.029321535,54.0,0,1
398063912,398063896,2228234,-0.09651672,0.06475172,-0.010995575,54.0,0,1
399065188,399065172,2228234,0.10873403,0.02199115,0.048869222,54.0,0,1
400063617,400063590,2228234,0.041538842,0.10262537,0.03543019,54.0,0,1
401064961,401064938,2228234,-0.074525565,0.1319469,0.014660767,54.0,0,1
402064753,402064726,2228234,0.015882498,-0.0036651918,-0.01954769,55.0,0,1
403065953,403065937,2228234,-0.023212882,-0.029321535,0.0036651918,55.0,0,1
404064196,404064180,2228234,0.0012217306,0.051312685,-0.013439037,54.0,0,1
405065596,405065580,2228234,-0.036651917,-0.017104229,-0.051312685,54.0,0,1
406065317,406065301,2228234,-0.074525565,0.041538842,-0.0048869224,54.0,0,1
407063709,407063693,2228234,-0.14538594,0.14294249,-0.0024434612,54.0,0,1
408063761,408063735,2228234,-0.053756148,-0.009773845,0.009773845,54.0,0,1
409064787,409064770,2228234,-0.12705998,-0.0598648,-0.018325958,54.0,0,1
410066027,410066011,2228234,-0.028099803,0.0720821,0.015882498,54.0,0,1
411064439,411064416,2228234,-0.123394795,-0.075747296,-0.013439037,55.0,0,1
412064883,412064867,2228234,0.031764995,-0.051312685,0.02199115,55.0,0,1
413064484,413064456,2228234,-0.07086038,0.04276057,0.012217306,54.0,0,1
414066771,414066755,2228234,-0.114842676,0.0048869224,0.041538842,55.0,0,1
415062893,415062870,2228234,-0.04031711,-0.0012217306,-0.020769421,55.0,0,1
416065328,416065297,2228234,-0.03909538,0.036651917,-0.020769421,55.0,0,1
417067040,417067023,2228234,-0.006108653,0.06352999,-0.009773845,55.0,0,1
418063131,418063112,2228234,-0.037873648,0.048869222,0.0012217306,55.0,0,1
419065856,419065840,2228234,-0.09285153,0.010995575,0.046425764,55.0,0,1
420065022,420065000,2228234,0.07330383,0.32131514,-0.091629796,55.0,0,1
421066016,421066000,2228234,-0.034208458,0.01954769,0.020769421,55.0,0,1
422063881,422063864,2228234,-0.03543019,0.017104229,0.017104229,55.0,0,1
423065219,423065203,2228234,-0.032986727,0.015882498,0.0073303836,55.0,0,1
424063606,424063580,2228234,-0.037873648,0.024434611,0.0024434612,56.0,0,1
425063347,425063331,2228234,-0.04276057,0.013439037,0.013439037,55.0,0,1
