timestamp,timestamp_sample,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
391803949,391800669,0.26499134,2.989377,-2.4798617,-1.1716342,0.022965698,1.189994,2.449945,0.0020225719,-0.047075834,-0.0016274154,0.072170444,0.08197839,0.06058841,-0.0073956847,-0.07017501,-0.052402258,0.028184935,0.15943141,0.20065014,0.24443926,0.22380626,0.17167282
392802098,392798958,0.30606934,2.9760933,-2.4786115,-1.164731,0.029681515,1.191444,2.447633,-0.15812284,-0.2050874,-0.10360117,0.0056378096,-0.015303433,0.09101315,-0.0404353,-0.11936371,-0.0572965,0.07571231,0.1569049,0.19876623,0.24618599,0.2266147,0.17152818
393801176,393797249,0.31330445,2.9588308,-2.5178626,-1.1966517,-0.0025225375,1.1524645,2.4038053,-0.07454474,-0.15770403,-0.12873903,-0.037552223,0.005145684,0.1667049,0.1064814,0.01693298,0.009311184,0.09774813,0.1536662,0.19631527,0.24841703,0.23026292,0.17133851
394803270,394800062,0.35633352,2.9630723,-2.494629,-1.1714234,0.023748484,1.1776495,2.4271107,0.059838787,-0.09381959,-0.1863628,-0.11567776,0.03883542,0.10346698,0.16014321,0.042288423,-0.08470705,-0.06309813,0.15314387,0.19533588,0.24837746,0.23128554,0.17185721
395802035,395798332,0.2605438,2.9047847,-2.4749985,-1.1613384,0.025583996,1.1822941,2.4425764,0.20041564,0.018200718,-0.061303392,0.043312944,0.21208361,0.014691867,0.045987405,-0.10366296,-0.231722,-0.1755026,0.15450458,0.20077279,0.25040796,0.22650412,0.16781051
396798371,396796634,0.16710491,2.807655,-2.4837353,-1.1723306,0.0020244615,1.1523116,2.420735,0.25535342,0.009869538,-0.04234816,0.13486218,0.3363743,0.22527522,0.20254953,-0.01613067,-0.1478151,-0.018159568,0.1513286,0.20491378,0.2570057,0.22518313,0.16156887
397802845,397799420,0.104736835,2.697688,-2.4678798,-1.1578542,0.0011032278,1.1422677,2.4197216,0.14970675,-0.0014210271,-0.03426298,0.07193675,0.19873115,0.12581183,0.111735344,-0.020810485,-0.10369401,-0.026395425,0.14668037,0.20954867,0.26578248,0.22414759,0.15384093
398799446,398797718,0.0846823,2.6810079,-2.4705274,-1.1614053,-0.005335355,1.1348805,2.41436,0.058426734,0.045091037,0.02761488,0.026397359,0.044940155,-0.09646341,-0.08050114,-0.08699942,-0.105432495,-0.11382912,0.14612164,0.21068062,0.26720774,0.2235704,0.15241964
399803945,399800538,0.09732848,2.6877272,-2.4615588,-1.1524563,0.004523262,1.145637,2.4244108,-0.048890878,-0.05637774,-0.020112514,0.012460403,-0.00031832606,-0.07621153,-0.12165919,-0.1415009,-0.11689342,-0.07355614,0.14647529,0.21042399,0.26659882,0.22358315,0.1529187
400802249,400798821,0.14529611,2.719813,-2.4492805,-1.1382934,0.02449181,1.1681987,2.4424608,-0.15631133,-0.1952104,-0.04552494,0.09516471,0.048094817,-0.027002871,-0.21697341,-0.30626118,-0.20741966,-0.023727473,0.14771125,0.20819065,0.2636184,0.22464004,0.15583968
