timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
368091517,368090965,0.015796244,0.05159353,0.0073880414
368112493,368111933,-0.005917694,0.026233498,0.057322495
368131975,368131422,0.017624607,0.014296486,-0.01457437
368151460,368150907,-0.012026204,-0.01318849,-0.0026498844
368172470,368171895,-0.010300543,-0.00043403765,0.02297336
368193433,368192873,-0.010120982,0.008270006,0.013209863
368212925,368212362,0.030320946,0.006768895,-0.037993643
368232413,368231847,-0.040987443,0.0047492282,-0.04410209
368253400,368252832,-0.010456102,0.009948724,-0.020122057
368271387,368270819,0.018193377,-0.004309105,0.0073829386
368290873,368290310,-0.009090874,0.007900964,0.032586273
368311847,368311287,0.008901099,-0.0003985163,-0.0041393014
368332824,368332270,-0.00041866675,0.008826275,0.010198954
368352315,368351759,0.01128265,-0.009030868,0.011992243
368371825,368371242,-0.007311924,0.014398829,0.00393045
368392777,368392225,0.013697179,-0.008268936,-0.014478586
368413767,368413210,-0.013618648,-0.002081507,-0.010987203
368431751,368431200,-0.01175583,0.0037368918,-0.008200882
368452753,368452188,0.011909934,-0.019813672,-0.016691178
368473802,368473185,-0.0046618814,0.016031716,0.0076985606
368491716,368491156,-0.008664958,-0.004875903,0.014579819
368514202,368513639,0.010870583,0.0023732046,0.00024988002
368533684,368533121,-0.009082092,0.0065448135,0.027874436
368554712,368554106,0.013523458,-0.0018453564,-0.0075999405
368572675,368572113,0.0023035435,0.0042528496,0.000565139
368592178,368591582,-0.01117727,0.005828724,-0.0015906326
368613120,368612566,0.0072870855,-0.0049791173,-0.019962803
368631121,368630562,-0.011248302,0.0060787373,-0.00045552547
368652093,368651541,0.0010990049,-0.009992484,-0.011403654
368671586,368671031,0.005665422,-0.0007789675,-0.0028751956
368694075,368693513,-0.007174614,0.0021731793,0.013602766
368712058,368711502,0.013202356,-0.0010117078,-0.0028751187
368731584,368730977,-0.0070981653,0.008996018,0.019926
368754004,368753457,0.0019469801,-0.0030052792,-0.0056489883
368775000,368774442,0.0060307416,0.00484037,0.00011616945
368792983,368792428,-0.009187274,-0.00080873806,0.0012368797
368812466,368811914,0.0126142,-0.006719291,-0.020647015
368833454,368832898,-0.013014324,0.0063721305,0.0060033435
368851456,368850903,0.003999025,-0.005912579,-0.011636247
368872434,368871870,-0.0022366284,-0.00021929201,0.0013733839
368893408,368892854,-0.0025830106,0.00331573,0.012169791
368914397,368913838,0.0024249433,-0.0012510773,-0.0015543513
368932378,368931825,0.0009706002,0.011971148,0.017183758
368953362,368952810,0.0036241668,-0.0031952173,-0.009990083
368974341,368973794,-0.0014021867,-0.00021691411,0.0028828091
368990839,368990290,-0.007881705,0.0031618206,0.0049633617
369011813,369011266,-0.0014209175,-0.004250427,-0.021484919
369032798,369032251,0.00012172572,0.0030426579,0.00967805
369053817,369053235,0.0021890127,-0.0046124794,-0.018651372
369071774,369071227,-0.0072711925,-0.0030043696,0.0067215655
369092753,369092206,9.920448e-06,0.007191248,0.008387765
369112245,369111692,0.005185767,-0.0036951266,-0.009543858
369131739,369131181,0.0021544076,0.007178984,0.021126853
369152716,369152162,-0.0016575526,0.0035140822,-0.013777097
369173693,369173146,0.0011617267,-0.00044481654,0.010955492
369193202,369192658,-0.0023663999,0.0018752642,-0.0040769298
369212676,369212118,0.00090453867,-0.0049615544,-0.013160687
369233674,369233109,-0.0019776905,0.0008610027,0.007473809
369251657,369251089,0.00074164383,-0.0025138468,-0.013564536
369271121,369270575,-0.0013697054,-0.00163054,0.0053974455
369292112,369291559,0.0048870435,0.0031596045,0.0050499365
369313090,369312543,-0.0019418914,-0.00378257,-0.0023917165
369334123,369333534,0.0046981815,-0.00026791263,0.014769743
369352063,369351516,-0.002148115,0.0012342868,-0.008465806
369373099,369372504,-0.0024044681,-0.0021143607,0.0064455527
369394031,369393484,-0.007957726,0.0060644518,-0.0044278535
369413541,369412997,0.0014903969,-0.0052765943,-0.0071964036
369433009,369432455,-0.001041777,-0.0020158978,0.006693746
369454002,369453444,0.001782807,-0.004539842,-0.011038696
369474978,369474424,0.008295268,-0.0024286723,0.0082932
369491489,369490939,-0.0062576015,0.007061847,0.0058305273
369512452,369511896,-0.00050792936,0.0022472106,-0.006400026
369533435,369532881,-0.0016155536,0.0002665514,0.0071693966
369552927,369552366,-0.0003947313,-4.137517e-05,-0.0060001486
369572483,369571858,0.005556315,-0.0066674547,0.0043344474
369593392,369592836,-0.013534686,0.0044894707,0.0022077875
369614368,369613821,0.012708332,-0.0055344165,-0.0068569593
369632362,369631815,-0.0052305697,0.0045485036,0.005147824
369653338,369652792,-0.002659772,0.0018064488,-0.008144686
369674370,369673781,0.013241703,0.0026506698,0.005586408
369692310,369691763,-0.011275159,0.0019257077,0.006282175
369711795,369711249,0.0101966355,0.00024093117,-0.0065018153
369732779,369732233,-0.004802003,0.00011085975,0.0061891647
369753764,369753217,-0.0012191045,0.0015270956,-0.0051206322
369771790,369771243,0.012833318,0.00205186,0.0021185745
369792774,369792230,-0.01627837,0.0046506226,0.0019705358
369813760,369813181,0.013455803,-0.010073527,-0.0039160457
369831713,369831160,-0.008369307,0.0010252419,0.004756579
369852745,369852144,-0.0005763555,-0.0013562117,-0.0070004095
369872177,369871630,0.004716214,-0.0016722528,0.0041491045
369891684,369891119,-0.011923343,0.009403927,0.003592575
369912658,369912100,0.015980892,-0.005306826,-0.0019319141
369933642,369933085,-0.007598432,-0.008655707,0.008865578
369954616,369954069,0.0014868611,0.0075086392,-0.008831073
369971104,369970557,0.012295491,-0.005385941,0.0037128003
369992119,369991542,-0.021290481,0.008621591,-0.0013708035
370011574,370011027,0.012004072,-0.0030434197,-0.006506868
370034057,370033511,-0.0053948453,-0.01252594,0.004460852
370052052,370051492,0.009229842,0.007953589,-0.007921314
370073028,370072482,0.003273175,0.0003240622,0.005872395
370091015,370090468,-0.008978609,0.009383401,0.0020481288
370112009,370111453,0.0039317785,-0.004741399,0.0022308475
370132994,370132437,-0.005682353,-0.0031117345,0.0061795074
370153969,370153422,0.009374176,0.005662943,-0.0067599085
370174977,370174420,-0.0058206255,-0.008643347,0.0056331707
370191457,370190913,-0.0011769235,0.0008277501,-0.0049765958
370212433,370211878,-0.0031767208,-0.0012098921,-0.0034456993
370231921,370231364,-0.0018304959,-0.0053521628,0.002137345
370251424,370250855,0.0022794064,0.010106482,-0.0075041554
370272406,370271834,-0.0034467736,-0.0028992216,0.008797872
370293368,370292819,0.0052877204,0.0018964019,-0.0011984296
370311367,370310809,0.000479938,0.004425003,0.0060340744
370332395,370331788,0.0012436407,-0.007387109,0.0042037107
370353332,370352774,0.0011827173,0.0008319812,-0.00062093744
370371309,370370763,-0.008954691,0.0035027056,0.0024925126
370390853,370390260,0.0047627217,-0.0053147296,-0.00906436
370411784,370411232,-0.0033346917,-0.0032943257,0.0064978395
370432762,370432215,-0.0053820414,-0.0023980003,-0.005439352
370450749,370450202,0.0030093899,0.0040312177,-0.0036104904
370471778,370471199,0.0016239001,0.00044169906,0.00673381
370492719,370492171,0.003201894,0.012636161,-0.008414261
370513712,370513165,0.0033952957,-0.0082152095,0.016193952
370531689,370531142,-0.0025284253,-0.004523871,-0.0051666303
370552693,370552130,-0.0008067535,-0.000764403,0.0024032786
370573660,370573111,-0.0026888251,-0.009874652,0.0031518675
370591656,370591098,0.00011789054,0.0039850418,-0.011630069
370615634,370615080,0.005186115,-0.010061754,0.0132702645
370633613,370633067,-0.00582666,-0.0010909454,-0.015813714
370654598,370654051,-0.00084712915,0.004464768,0.007734922
370672596,370672038,0.005565238,-0.01245291,0.0047718845
370692142,370691524,-0.0021156813,0.014660815,-0.011918496
370713062,370712508,0.006550392,0.0015799513,0.01849743
370735545,370734999,0.003603037,-0.0009157256,-0.014031744
370753527,370752981,-0.00016886694,0.0026290682,0.0138099585
370773055,370772476,0.0024104575,-0.0022074282,-0.002239923
370794043,370793448,-0.007025181,0.003957215,-0.0055481098
370811984,370811435,0.0053197844,-0.006776376,0.01098921
370832982,370832430,-0.008526675,-0.0009909153,-0.016425436
370853960,370853404,0.0014542481,0.0021466892,0.014214164
370874943,370874394,0.0041593583,-0.009594902,-0.008483006
370891450,370890898,-0.006333426,0.0038906862,-6.491854e-05
370912438,370911867,0.010097063,-0.002456407,0.009803308
370933405,370932845,-0.010070901,0.00023107114,-0.009628028
370951393,370950832,0.012344029,-0.0027887758,0.01400847
370972373,370971817,-0.0061799674,-0.005379034,-0.011936426
370993408,370992808,-0.0037223739,0.0055323676,0.0031825942
371014338,371013792,0.0066382084,-0.0045303833,-0.0067543867
371032319,371031772,-0.0037891376,0.0010763968,-0.0073331543
371053310,371052757,0.007288018,0.00033449777,0.008198838
371072788,371072242,-0.0014199554,-0.008301853,-0.008812508
371090785,371090229,-0.002818338,0.009268839,0.007542229
371113264,371112712,0.002598242,-0.0026089957,-0.0003054
371134258,371133699,-0.0017824718,0.0005971526,0.0007740108
371155236,371154681,0.006751268,0.0026968368,0.0014059718
371171729,371171179,0.005204503,-0.010511745,-0.008754233
371192708,371192153,-0.011210723,0.008031063,0.007657347
371212186,371211639,-0.0017542061,-0.0028249924,-0.0036752285
371231671,371231125,0.0033565555,-0.0048445985,-0.00470737
371252661,371252109,0.005065889,0.0010105537,0.0058112415
371273640,371273094,-0.0016231881,0.0014129744,-0.006371198
371291653,371291086,-0.0046422826,0.007182396,0.006184793
371312637,371312065,-0.0023358958,-0.0016577103,0.00057437655
371333684,371333056,0.00922569,0.0050768303,0.00015243609
371351583,371351036,-0.0017378265,0.00026692054,0.007294367
371371080,371370528,0.005563643,-0.007459348,-0.0037793862
371392058,371391510,-0.0026290994,0.00643396,-8.969987e-05
371413038,371412491,-0.0019095521,-0.0052279662,0.0032137688
371434022,371433475,0.0012627603,0.005543828,-0.008175182
371452063,371451483,-0.0026513133,0.007963228,0.0063551585
371473053,371472453,0.005105958,-0.0074298857,-0.006488339
371493988,371493439,0.0036870013,-0.0013345499,0.004769711
371511971,371511418,-0.001756114,0.0020851118,0.013853234
371532960,371532402,-0.001043261,0.0009706842,-0.011773759
371553938,371553392,-0.0074623907,0.00151391,0.013879716
371571943,371571394,-0.0058637084,-0.014689352,-0.007913207
371591421,371590859,0.010155172,0.0006200487,-0.0061642462
371612473,371611872,-0.00414249,-0.0049162344,0.0136100035
371633419,371632858,0.004005353,0.008270349,-0.020777103
371651391,371650821,0.0013070521,0.0067251436,0.014807807
371672390,371671799,0.0021089711,-0.002770814,-0.010925771
371693331,371692784,-0.001172524,0.0048875483,0.00812054
371714315,371713768,0.008542863,-0.008781351,0.015397208
371732302,371731755,-0.0006994251,0.0032380254,-0.021921348
371753286,371752740,0.00167306,0.0024736293,0.020810073
371774304,371773724,0.006146492,-0.007431007,-0.020594053
371792269,371791712,-0.005603791,0.0013741436,0.0017827266
371813249,371812695,0.006044371,-0.014860792,0.009979368
371834226,371833679,0.0016381321,0.0045409203,-0.022281187
371855226,371854664,-0.00374775,0.009687827,0.021336982
371873197,371872651,0.00057732034,-0.0011262051,-0.017688656
371892707,371892140,-0.0035678959,0.008871288,0.010250733
371913674,371913125,0.003998165,-0.020280438,0.007840491
371931660,371931108,0.005938598,0.0010997215,-0.026069514
371952655,371952101,0.004134556,0.006168659,0.025780944
371970637,371970079,-0.0012484277,-0.0013356849,-0.023671972
371991613,371991063,-0.005421685,0.0035485665,0.011179856
372012596,372012048,0.008226536,-0.00985089,-0.0014403947
372033581,372033032,-0.0021144124,0.0046001496,-0.014358289
372054565,372054017,0.0019074166,0.00952935,0.02418323
372071107,372070532,0.00033614784,0.0018419214,-0.026110027
372092036,372091489,-0.0062666237,-0.00033667113,0.028942145
372111528,372110978,0.006334439,-0.008726985,-0.0040239785
372134005,372133458,-0.0020602075,0.007994183,-0.0047705723
372152024,372151475,0.0033103523,0.0011745836,0.026630027
372172980,372172429,0.00058470434,0.00038895407,-0.03510199
372192475,372191916,-0.010365707,0.00766226,0.030305553
372211961,372211417,0.007651146,-0.013681991,-0.019039478
372232966,372232417,0.0010436997,0.0058009215,0.006766501
372253932,372253380,0.009169714,0.004966383,0.008883363
372274910,372274354,-0.0029363083,-0.0047978703,-0.022433728
372291427,372290872,-0.00712205,0.0021705336,0.037713416
372312385,372311826,0.012247745,-0.007924571,-0.027875038
372331865,372331312,-0.008749207,0.0015254952,0.009922905
372351359,372350801,0.007912087,0.002902815,0.006839578
372372329,372371782,-0.0035829898,-0.008212924,-0.02503396
372393320,372392766,-0.0037569944,0.017608672,0.02732062
372414299,372413751,0.005664296,-0.013447825,-0.028778188
372432301,372431743,-0.0025321497,0.0038750658,0.022918392
372453280,372452722,0.010802423,0.0028992023,-0.0091681145
372474253,372473706,-0.0060851797,-0.00020252762,-0.0029934656
372492248,372491693,-0.0043485686,0.008277464,0.024098294
372513272,372512679,0.0036844895,-0.01906172,-0.027364448
372534215,372533662,-0.0071995566,0.0037925488,0.022727044
372552198,372551649,0.021423845,-0.0024233034,-0.013518761
372571702,372571159,-0.017437764,-0.0054033166,-0.0070358496
372592673,372592119,-0.004311503,0.014591241,0.013806528
372613653,372613104,0.014180802,-0.010086004,-0.017976277
372633152,372632590,-0.003739939,0.0033631534,0.026452135
372652627,372652075,0.016130453,0.001966952,-0.011686397
372673609,372673062,-0.013688122,-0.00048393558,0.0069964193
372691606,372691046,0.005157259,0.009267133,0.010126108
372712577,372712031,0.0061301934,-0.019889731,-0.019394482
372733577,372733019,-0.003049706,0.0075665237,0.015211183
372754546,372754000,-0.0053289067,-0.0007409536,-0.01489853
372772533,372771987,-0.0038838033,0.0021057618,0.001146408
372792046,372791479,-0.0042809118,0.010708355,0.00623165
372813003,372812457,0.002095311,-0.016436355,-0.005675134
372833991,372833441,0.009506491,0.008346743,0.013553338
372851989,372851435,-0.0054839035,0.0017481691,-0.0067106504
372871467,372870914,-0.0042818994,-0.003430266,-0.0010265016
372893955,372893401,-0.0044223457,0.0021516543,-0.00026447442
372911952,372911406,-0.0005742223,-0.01571384,-0.008428447
372932935,372932368,0.0018972429,0.0071566347,0.0048935525
372953932,372953359,-0.0012676609,0.008362722,-0.0028310036
372974893,372974337,0.010933006,0.0005205213,0.00039370998
372992873,372992324,-0.0052858633,0.0060001435,0.008666883
373012397,373011825,0.004244047,-0.011991303,-0.001796277
373033347,373032794,0.0025621504,0.0026610815,0.011037559
373051337,373050781,0.0046502026,-0.00082122267,0.0012598999
373072325,373071765,-0.00014426559,0.0010037922,-0.011090344
373091806,373091251,-0.008948196,0.004737379,0.00629191
373114288,373113742,0.0043085287,-0.016302284,-0.015313018
373132293,373131747,0.0036665937,0.00651102,0.00882215
373153260,373152705,-0.0023905933,-0.007037219,-0.001695982
373172745,373172191,0.0037852738,0.003563263,-0.008400331
373192248,373191681,-0.006840027,0.010653688,0.016901359
373213222,373212661,0.009136813,-0.010834124,-0.016356459
373234210,373233645,0.00019999687,0.008738627,0.025348583
373255194,373254630,-0.0065951524,-0.00071846286,-0.014054814
373271691,373271146,0.009554034,-0.0028667557,-0.014250478
373292649,373292103,-0.011987409,0.01325912,0.014212385
373310636,373310089,0.002259443,-0.013086725,-0.027352506
373331622,373331075,0.00027603097,-0.004408593,0.0298103
373352621,373352059,0.0031094435,-0.009614902,-0.015616549
373373589,373373043,0.00038794894,0.00033245084,0.0053867726
373393081,373392528,0.002007593,0.008174915,0.017449375
373412577,373412023,-0.00030965963,-0.0053817825,-0.026978714
373433552,373432999,-0.005948388,0.0058092293,0.038426753
