timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
369969980,369969060,0.9995333,-0.0029488115,-0.0012897591,-0.030379308,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
370024158,370023025,0.9995326,-0.0029176718,-0.001254943,-0.030409375,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
370073422,370072482,0.9995329,-0.0029183507,-0.0012677066,-0.030396791,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
370123133,370121952,0.9995351,-0.002930679,-0.0012617115,-0.030322375,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
370172450,370171408,0.99953574,-0.0029353367,-0.0012574975,-0.030300984,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
370221821,370220872,0.99953395,-0.0029657858,-0.0012716835,-0.03035718,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
370271234,370270344,0.999534,-0.002957622,-0.0012639259,-0.030355088,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
370320764,370319802,0.99953705,-0.002938631,-0.0011764617,-0.030262722,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
370370138,370369262,0.999537,-0.0029214546,-0.0011721487,-0.030264001,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
370424429,370423229,0.9995348,-0.0029389237,-0.0012749868,-0.030330865,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
370469118,370468189,0.9995341,-0.0029265336,-0.0012358582,-0.030359803,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
370523036,370522149,0.9995352,-0.0028915238,-0.0012168807,-0.030324535,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
370572844,370571612,0.99953413,-0.0029082668,-0.0012483167,-0.03035678,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
370622161,370621076,0.99953234,-0.002981315,-0.0013426226,-0.030406468,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
370671476,370670539,0.9995306,-0.002975821,-0.0013677855,-0.030463785,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
370720915,370720034,0.99953157,-0.002930297,-0.0013120574,-0.03043589,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
370770463,370769466,0.9995321,-0.0029451218,-0.0013095215,-0.030416382,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
370819803,370818929,0.99953043,-0.002955486,-0.0013471115,-0.030472292,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
370873860,370872893,0.9995293,-0.0029300882,-0.0013965141,-0.03050777,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
370923291,370922358,0.9995306,-0.002899747,-0.0013884312,-0.030466767,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
370972701,370971817,0.99953073,-0.0028920304,-0.0014087029,-0.030465698,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
371022211,371021280,0.9995284,-0.0028632241,-0.0014368516,-0.030540897,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
371071842,371070743,0.99952906,-0.0028351534,-0.0014857464,-0.030520044,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
371121199,371120207,0.9995311,-0.0027680984,-0.0014975531,-0.030459749,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
371170701,371169676,0.9995315,-0.0027308997,-0.0014881701,-0.03044868,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
371224730,371223636,0.9995297,-0.002801693,-0.00152213,-0.030499332,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
371274030,371273094,0.99953085,-0.0027567034,-0.0015089647,-0.030469546,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
371323733,371322557,0.99953234,-0.0026941122,-0.0014754577,-0.030426692,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
371368599,371367524,0.99953425,-0.002668148,-0.0014784526,-0.030362992,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
371422455,371421490,0.9995329,-0.0026796318,-0.0015226079,-0.030408777,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
371471844,371470948,0.99953246,-0.0026783678,-0.001497984,-0.030423505,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
371521310,371520411,0.9995336,-0.0026770364,-0.001491446,-0.030384323,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
371570765,371569882,0.9995332,-0.0027092493,-0.0015481455,-0.030393897,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
