timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
368091514,368090965,1.2274023,2.8527126,-0.5006694
368112490,368111933,-1.7717298,-2.4956367,1.6836115
368131972,368131422,0.30641153,-0.14880079,-3.6484852
368154473,368153909,-0.40801206,-1.4977833,2.1160467
368172468,368171895,-0.24845225,0.21661723,1.2305557
368193430,368192873,-0.5288139,0.94099665,-0.5716498
368212923,368212362,2.3307078,0.81394464,-3.3942173
368232411,368231847,-4.5276265,0.75819737,0.5078642
368253397,368252832,2.155479,-0.4079161,0.031084226
368274362,368273813,0.18793707,1.1214379,1.8606081
368295346,368294798,-1.6365389,2.4949226,1.2058936
368311845,368311287,0.94091195,-0.62535876,-2.5489123
368334333,368333774,0.32263592,-0.52366936,0.6740066
368352312,368351759,0.49063048,-0.2969584,0.058274128
368371822,368371242,-0.9687372,0.5331151,-0.25152388
368392774,368392225,1.2764124,-1.402148,-1.1349257
368413764,368413210,-1.8970665,0.68067145,0.23353449
368434747,368434198,0.8083052,-0.19634661,-0.11730942
368452750,368452188,1.2303808,-1.1765745,-0.22225572
368473800,368473185,-0.6293104,1.7019644,1.5276346
368494710,368494150,0.3732721,-1.486058,-0.44899654
368514200,368513639,0.6639995,0.5094359,-0.5734118
368533681,368533121,-1.5088866,0.28459287,1.530704
368554706,368554106,1.4634151,-0.617759,-1.918783
368572672,368572113,-1.4014543,0.91255873,0.5327528
368592175,368591582,-0.010148725,-0.29534978,-0.37360018
368613118,368612566,0.80436945,-0.22588468,-0.7631708
368634103,368633551,-1.0628196,0.39219502,1.1890199
368652090,368651541,0.63158745,-1.0597394,-0.8081054
368673073,368672522,0.050026245,0.5264254,0.88854945
368694073,368693513,-0.19068795,-0.04736949,0.35599685
368712055,368711502,1.1120566,-0.16979988,-0.9901179
368733026,368732476,-1.195187,0.5323246,1.3940672
368754001,368753457,0.66180456,-0.6462118,-1.7742814
368774997,368774442,-0.5137399,0.6328187,0.6309221
368792981,368792428,0.1376036,-0.5135219,-0.02733525
368812464,368811914,0.81882286,-0.48798338,-1.1671515
368833451,368832898,-1.1306616,0.7111449,1.5690974
368854435,368853883,0.760373,-0.41788974,-1.3937573
368872431,368871870,-0.3124555,0.5235578,1.0349032
368893406,368892854,0.05528506,-0.12429717,0.17912929
368914394,368913838,0.2605355,0.39331222,-0.610246
368932369,368931825,-0.23552154,0.54174644,1.2247247
368953359,368952810,0.34271106,-0.88347876,-1.9208133
368972847,368972299,-0.0023769916,-0.3221315,1.0896037
368995337,368994785,-0.2918351,-0.40317544,-0.50636137
369011810,369011266,0.2240303,-0.28347462,-1.2726576
369032795,369032251,0.33435416,0.5753454,1.448432
369055285,369054741,0.4415664,-0.51577526,-1.8981472
369071772,369071227,-0.51683694,0.6237899,1.6929116
369092751,369092206,0.22918466,0.68829787,-0.39392748
