timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
368341260,0.0024831868,-0.004548308,0.006309784,4494,0,-0.57712126,0.25168172,-10.48211,4494,0
368345760,0.003128977,-0.0038283183,0.007220682,4500,0,0.24387676,0.2169076,-10.911287,4500,0
368350257,0.0043450766,-0.013456351,0.012011218,4497,0,-0.20955347,-0.31715783,-10.170652,4497,0
368354775,-0.0045034303,0.022951458,0.0034570838,4518,0,-0.46753165,-0.64272267,-10.141641,4518,0
368359250,-0.0076547675,0.011302498,0.003311388,4475,0,0.281275,-0.75495005,-9.945163,4475,0
368363750,-0.010489506,-0.0076410794,0.009427894,4500,0,-0.4047055,-0.6895928,-9.521233,4500,0
368368243,-0.0142728565,0.020810938,0.0009745283,4493,0,-0.9132709,-0.7566448,-9.552882,4493,0
368372741,-0.013483847,0.021562135,-0.0005763386,4498,0,-0.004115609,-0.5413189,-9.738169,4498,0
368377246,-0.009905157,0.00073764584,0.0013239209,4505,0,0.17204878,-0.12467741,-9.613538,4505,0
368381733,0.0051886146,0.0070185573,-0.012176839,4487,0,0.24292655,0.3336429,-9.762465,4487,0
368386289,0.0048236833,-0.0046888674,-0.014697048,4556,0,0.55616647,0.7806905,-9.844647,4556,0
368390742,0.006223473,-0.008314424,-0.016737876,4453,0,0.121875025,1.3182093,-10.306779,4453,0
368395223,0.006957362,-0.0013646362,-0.018889662,4481,0,-0.19466431,1.2172743,-10.317925,4481,0
368399723,0.0027855297,-0.008823723,-0.014104443,4500,0,0.23658626,0.42376113,-9.809832,4500,0
368404242,-0.0061498047,-0.005721984,-0.017437603,4519,0,-0.14899676,-0.51338327,-9.885089,4519,0
368408713,-0.018517625,0.009497558,-0.01652203,4471,0,0.1992339,-0.80013233,-9.8847685,4471,0
368413210,-0.024616709,-0.007998741,-0.008685107,4497,0,0.41145748,-0.7017169,-9.427587,4497,0
368417715,-0.020507006,0.0074829697,-0.010190019,4505,0,-0.27833375,-0.11691086,-9.804785,4505,0
368422210,-0.02918456,0.023944547,-0.012047803,4495,0,-0.19984296,0.33285582,-10.342435,4495,0
368426709,-0.02312057,0.0049725315,-0.007996494,4499,0,0.124800414,0.48022872,-10.179686,4499,0
368431200,-0.0102179255,0.00062899827,-0.0134203555,4491,0,-0.32950366,0.51515186,-9.447433,4491,0
368435701,-0.0048533715,0.007832685,-0.023326628,4501,0,0.11499599,0.2487893,-9.5015745,4501,0
368440190,-0.009504849,-0.022486674,-0.018611642,4489,0,0.38008448,0.37552515,-9.7479925,4489,0
368444688,0.009774695,-0.013817424,-0.02061528,4498,0,-0.01110194,0.539018,-9.37282,4498,0
368449191,0.006039085,-0.01396149,-0.021182042,4503,0,0.39989626,0.15836303,-9.505337,4503,0
368453680,-0.001131957,-0.023375059,-0.011163343,4489,0,0.21559301,-0.13041523,-10.334999,4489,0
368458177,-0.004212119,0.0030237567,-0.0160108,4497,0,-0.49655688,-0.5218484,-10.505827,4497,0
368462680,-0.013511009,0.015340117,-0.01172099,4503,0,-0.22073002,-0.7147105,-10.137899,4503,0
368467184,-0.0103478925,0.0005677385,0.005238461,4504,0,-0.10616687,-0.44565105,-10.106682,4504,0
368471667,-0.0073512862,0.025268449,0.0068284892,4483,0,-0.6302884,-0.33236718,-10.058607,4483,0
368476163,-0.02847991,0.019182611,0.013326344,4496,0,-0.08612536,-0.03202949,-10.165839,4496,0
368480668,-0.0048317066,-0.008034997,0.025560353,4505,0,-0.12956755,0.30039248,-9.71286,4505,0
368485168,-0.011844464,0.017393058,0.012859643,4500,0,-0.29586115,0.008016933,-9.392383,4500,0
368489663,-0.024042342,-0.011937054,0.01025663,4495,0,0.4032018,0.53484887,-9.460774,4495,0
368494150,0.018087909,-0.008636198,0.0077918298,4487,0,0.13512085,0.9515949,-9.790729,4487,0
368498666,0.0038220342,-4.0508912e-05,0.002830479,4516,0,0.0048763924,0.5690042,-9.56954,4516,0
368503149,0.0029154664,-0.0138698835,0.0023505783,4483,0,0.3636103,0.8340978,-9.89349,4483,0
368507642,0.023977356,-0.015948772,0.00067683,4493,0,-0.5065086,0.23048544,-10.460921,4493,0
368512137,-0.001329036,0.017728066,-0.005243128,4495,0,-0.52764904,-1.0819016,-10.386951,4495,0
368516633,-0.023868276,-0.0003728395,0.008934119,4496,0,0.31127706,-0.32743397,-9.610211,4496,0
368521142,0.007540148,0.012958007,0.016409475,4509,0,-0.037311204,-0.04449245,-9.751453,4509,0
368525641,-0.03130835,0.028115734,0.01712336,4499,0,0.017978067,-0.74342334,-9.726802,4499,0
