timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
368123349,368122446,0.9542606,0.40348846,-10.3282
368172676,368171895,0.2159836,-1.7347069,-9.82459
368222091,368221354,1.1061801,0.011686471,-9.473789
368271520,368270819,-0.1909343,-0.6963885,-10.121144
368321054,368320282,0.09024793,1.1803887,-9.901663
368370473,368369746,-0.4387104,-0.752046,-9.601875
368424436,368423702,-0.06772935,-0.19853227,-9.845027
368474044,368473185,-0.36026016,-0.49709862,-10.097463
368523604,368522639,-0.056469258,-0.38411203,-9.853049
368572884,368572113,-0.14969371,-0.5576512,-9.751128
368622272,368621577,-0.006239991,-0.35219425,-9.875348
368671785,368671031,-0.24598752,-0.5470269,-9.885442
368721241,368720486,-0.16705176,-0.36308962,-9.827109
368775246,368774442,-0.28323218,-0.54289114,-9.97063
368820143,368819427,-0.11423708,-0.44449615,-9.832575
368869646,368868882,-0.20096447,-0.27533507,-9.913477
368919065,368918335,-0.14620893,-0.18556538,-9.842903
368973000,368972299,-0.3038138,-0.61852854,-10.05818
369022450,369021759,-0.17810856,-0.4798922,-9.714994
369071979,369071227,-0.2544563,-0.38010713,-9.912358
369121449,369120686,-0.31137913,-0.34539762,-9.683326
369170885,369170149,-0.20322953,-0.4014409,-9.992588
369220380,369219613,-0.3082832,-0.43978253,-9.9347725
369269841,369269077,-0.36343113,-0.29362288,-9.694776
369324007,369323038,-0.4269433,-0.6741868,-10.390385
369373419,369372504,-0.41556457,-0.53253394,-9.785523
369422704,369421963,-0.38600343,-0.46232933,-9.763317
369472145,369471426,-0.32127383,-0.4793892,-9.994337
369521701,369520889,-0.29315814,-0.37920254,-9.993032
369571075,369570358,-0.29583013,-0.3614374,-10.02082
369620611,369619816,-0.27257115,-0.32517147,-10.120448
369674624,369673781,-0.18794368,-0.3358102,-9.978098
369719441,369718743,-0.14706065,-0.35657838,-9.95359
369768887,369768207,-0.28849563,-0.27163807,-10.098
369822884,369822167,-0.07051933,-0.27076605,-10.020539
369872348,369871630,-0.08000755,-0.37951446,-9.867064
369921812,369921093,-0.009137726,-0.29612,-9.8737955
369971293,369970557,0.019801581,-0.2547265,-9.928272
370025485,370024524,0.073271625,-0.28833956,-9.940563
370070190,370069491,-0.09412192,-0.24017707,-9.992131
370119671,370118947,-0.18125962,-0.21797077,-9.945669
370173762,370172907,0.08601419,-0.2600174,-10.124532
370223275,370222394,0.021908779,-0.11660394,-9.725108
370272562,370271834,-0.13346553,-0.06475732,-10.171757
370322030,370321307,-0.19671997,-0.026618164,-10.0203905
370371497,370370763,-0.12767297,-0.015249042,-9.931452
370420941,370420225,-0.15345663,0.0542442,-9.946498
370470578,370469688,-0.1781,0.16256854,-10.182534
370524490,370523649,0.20524766,0.23689982,-9.613417
370573881,370573111,0.15401497,0.2784223,-9.574575
370623341,370622575,0.061786868,0.32791725,-9.767598
370672772,370672038,0.083715305,0.40705025,-9.570137
370717812,370717007,0.07463493,0.23696493,-9.932196
370771651,370770965,0.19113517,0.4492027,-9.491633
370821122,370820439,0.15588917,0.298077,-10.147985
370875207,370874394,0.37724024,0.47345737,-9.804264
370920080,370919356,0.2851994,0.15617196,-9.961923
370969591,370968834,0.34691358,0.1180716,-9.7113285
371019001,371018282,0.31899866,0.22569472,-9.779092
371072983,371072242,0.42530587,0.3612576,-9.902307
371122433,371121706,0.4330724,0.3879436,-9.589747
371171835,371171179,0.4287752,0.4852521,-9.680857
371221434,371220642,0.2707986,0.47106153,-9.801589
371270871,371270096,0.115900934,0.6440858,-9.661162
371320282,371319559,0.20139611,0.4974871,-9.852428
371369726,371369023,0.092456214,0.42705765,-10.032196
371423779,371422983,-0.042614583,0.34219286,-9.539452
371473386,371472453,-0.05724134,0.4084577,-9.478475
371522653,371521910,-0.08969483,0.34866112,-9.804373
371572118,371571394,-0.048371654,0.33726284,-9.416279
371621561,371620836,-0.17604513,0.34470758,-9.531159
371671096,371670300,-0.20707546,0.28392723,-9.657235
371720497,371719764,-0.052550264,0.23903637,-9.660283
371774517,371773724,0.09727,0.28023815,-9.496906
371824127,371823193,0.025821738,0.2736593,-9.417939
371873370,371872651,0.107590996,0.20312844,-9.417433
371918303,371917642,-0.04668786,0.3466833,-9.901881
371967838,371967081,0.020910455,0.3616531,-9.568059
372021752,372021041,0.05834644,0.12979217,-9.93687
372071506,372070532,0.17859903,0.11046071,-9.77368
372120730,372119988,0.18932171,0.14121449,-10.0451355
372170137,372169435,0.17969514,0.22152095,-9.812467
372219585,372218895,0.40017158,0.14467831,-9.711274
372273584,372272862,0.45366743,0.3517932,-9.494185
372323084,372322334,0.33684006,0.35177732,-9.866077
372372507,372371782,0.45433637,0.30595037,-9.620251
372422080,372421245,0.4543381,0.32323864,-9.688011
372471434,372470709,0.3182013,0.28611398,-9.590063
372520877,372520173,0.2554785,0.34318057,-9.930405
372570340,372569644,0.3776867,0.37703025,-9.739365
372624481,372623602,0.25561306,0.68054914,-9.23193
372673782,372673062,0.1311139,0.7428717,-9.575917
372723247,372722523,0.089168735,0.6598155,-9.51348
372772727,372771987,0.15213427,0.7663764,-9.442638
372822147,372821462,0.17858246,0.74054325,-9.561914
372871637,372870914,0.160535,0.6748868,-9.497021
372921118,372920388,0.2295355,0.70092744,-9.429031
372975055,372974337,0.1401018,0.61041754,-9.492877
373024636,373023807,0.21408834,0.49269778,-9.793301
373069519,373068792,0.25215036,0.536567,-9.64654
373118972,373118231,0.24157034,0.5191545,-9.68078
373172927,373172191,0.31261048,0.4963323,-9.332149
373222404,373221654,0.32185668,0.41848758,-9.481409
373271798,373271146,0.38070607,0.3714674,-9.369186
373321313,373320581,0.36105853,0.33857822,-9.654606
373370800,373370045,0.28215426,0.45429066,-9.724018
373420223,373419509,0.35660383,0.50589496,-9.769193
373469692,373468972,0.27998146,0.5823237,-9.664731
373523627,373522932,0.088128336,0.44568205,-9.632082
373573189,373572404,0.031357814,0.34417117,-9.393574
373622547,373621859,-0.086945176,0.40276846,-9.756665
373672046,373671323,-0.06527776,0.40822858,-9.7719
373721518,373720786,-0.08037853,0.44342858,-9.38726
373771008,373770250,-0.16229059,0.30313846,-9.692091
373820458,373819713,-0.21292205,0.24239513,-9.477991
373874440,373873673,-0.35479924,-0.4166121,-9.529092
373924068,373923137,-0.29686293,-0.54568243,-9.752489
