timestamp,main_state_changes,main_state
367711347,7,2
368222749,7,2
368725110,7,2
369229631,7,2
369732504,7,2
370232975,7,2
370736579,7,2
371244682,7,2
371744804,7,2
372253594,7,2
372759392,7,2
373264496,7,2
373771849,7,2
374278138,7,2
374782892,7,2
375287935,7,2
375792520,7,2
376293958,7,2
376803560,7,2
377306493,7,2
377813888,7,2
378321956,7,2
378827031,7,2
379334485,7,2
379836084,7,2
380341320,7,2
380850702,7,2
381354576,7,2
381859525,7,2
382363534,7,2
382865524,7,2
383372418,7,2
383879729,7,2
384382680,7,2
384888534,7,2
385396901,7,2
385900817,7,2
386408683,7,2
386914484,7,2
387418744,7,2
387919551,7,2
388423842,7,2
388925933,7,2
389431021,7,2
389933794,7,2
390437483,7,2
390943680,7,2
391447795,7,2
391953701,7,2
392459930,7,2
392964850,7,2
393473686,7,2
393981541,7,2
394486648,7,2
395499637,7,2
396008529,7,2
396513562,7,2
397016616,7,2
397520815,7,2
398027043,7,2
398530337,7,2
399036497,7,2
399543897,7,2
400054890,7,2
400560670,7,2
401062614,7,2
401565905,7,2
402071053,7,2
402573044,7,2
403072697,7,2
403573565,7,2
404079325,7,2
404587818,7,2
405091786,7,2
405599632,7,2
406106665,7,2
406613562,7,2
407116660,7,2
407623355,7,2
408133495,7,2
408638558,7,2
409143645,7,2
409647490,7,2
410154810,7,2
410660664,7,2
411167868,7,2
411670270,7,2
412177307,7,2
412682416,7,2
413186524,7,2
413694508,7,2
414199607,7,2
414704290,7,2
415205534,7,2
415705595,7,2
416213911,7,2
416722351,7,2
417225593,7,2
417729592,7,2
418233568,7,2
418741022,7,2
419246489,7,2
419257999,7,2
419766526,7,2
420272832,7,2
420782583,7,2
421289368,7,2
421796531,7,2
422302756,7,2
422809621,7,2
423316361,7,2
423817674,7,2
424280040,7,2
424482823,7,2
424985812,7,2
